lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	88.4	94.8	77.4	91.0	93.6	97.8	97.0	NA
en-de	91.8	96.6	84.2	98.2	97.8	98.6	99.0	NA
en-fi	82.6	95.8	72.0	93.0	92.8	NA	96.2	NA
en-fr	93.0	97.2	80.6	94.6	96.4	99.0	98.4	NA
en-lt	79.6	93.4	72.8	93.6	92.4	NA	94.0	NA
en-ro	89.8	97.6	74.6	92.2	96.0	97.0	98.2	NA
en-ta	NA	NA	79.0	93.2	63.2	95.2	95.2	NA
cs-en	98.0	99.0	89.8	97.6	99.4	NA	99.8	NA
fr-en	97.6	98.8	93.2	99.0	99.2	NA	99.8	NA
lt-en	93.2	95.0	80.8	96.0	97.8	NA	98.4	NA
ro-en	97.8	99.2	86.0	98.2	99.2	NA	99.6	NA
mean	91.2	96.7	80.9	95.1	93.4	97.5	97.8	NA
