modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	ro-en	96.6	98.6	93.4	97.4	98.6	99.6	99.6	92.6
xglm-label-trim	ro-en	97.4	99.2	85.4	98.4	99.4	99.6	99.6	NA
xglm-keywords10-seen500-trim	ro-en	97.8	99.0	86.6	98.2	99.2	99.6	99.6	NA
xglm-topic3shot-seen500-trim	ro-en	97.6	99.6	91.2	98.2	98.6	99.4	99.6	NA
xglm-rand-label-trim	ro-en	96.6	99.4	86.8	97.8	99.2	99.6	99.8	NA
verbose-base-trim	ro-en	97.0	98.8	88.4	97.6	99.2	100.0	99.6	NA
xglm-keywords30-seen500-trim	ro-en	96.2	99.4	83.6	98.4	99.0	99.6	99.6	NA
xglm-rand-keywords10-seen500-trim	ro-en	97.0	99.4	87.0	98.4	99.4	99.8	99.6	NA
xglm-rand-keywords10-seen-all-trim	ro-en	97.8	99.2	87.2	98.4	99.2	100.0	99.6	NA
xglm-rand-topic3shot-seen500-trim	ro-en	97.6	99.6	91.2	98.2	98.4	99.4	99.6	NA
xglm-rand-3shot-seen-all-trim	ro-en	0.8	2.6	3.0	2.2	2.4	0.6	2.2	NA
xglm-bm25-3shot-seen-all-trim	ro-en	0.0	0.6	1.4	1.4	1.0	0.0	1.8	NA
xglm-sentsim-3shot-seen-all-trim	ro-en	0.4	3.2	1.8	0.4	3.0	4.8	1.4	NA
xglm-topic1shot-seen500-trim	ro-en	96.8	99.8	91.2	98.2	98.0	99.6	99.4	NA
xglm-topic5shot-seen500-trim	ro-en	97.4	99.8	91.2	98.0	98.6	99.4	99.6	NA
xglm-topic3shot-seen200-trim	ro-en	98.4	99.8	92.4	98.0	98.8	99.6	99.2	93.6
xglm-topic3shot-seen1000-trim	ro-en	97.6	100.0	91.4	97.4	99.0	99.8	99.6	NA
xglm-bm25-3shot-langs-trim	ro-en	98.2	100.0	90.8	97.8	99.0	99.8	99.6	NA
xglm-sentsim-3shot-langs-trim	ro-en	99.0	99.8	91.6	98.0	99.2	99.8	99.8	NA
xglm-topic3shot-lang500-trim	ro-en	98.4	99.8	92.4	98.2	99.0	99.6	99.8	NA
xglm-topic3shot-domain200-trim	ro-en	98.0	99.8	93.0	97.6	98.6	99.8	99.8	NA
xglm-domain3shot-all-trim	ro-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	ro-en	99.0	99.6	91.4	97.4	98.8	NA	99.6	NA
xglm-rand-topic3shot-seen200-trim	ro-en	98.8	99.4	89.8	97.4	98.4	NA	99.6	NA
