modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-fr	18.3	29.7	13.6	8.4	14.6	16.7	17.2	13.4
xglm-label-trim	en-fr	18.1	28.7	14.2	8.7	14.9	17.1	17.6	12.0
xglm-keywords10-seen500-trim	en-fr	18.2	28.8	14.4	8.8	15.5	17.3	18.0	NA
xglm-topic3shot-seen500-trim	en-fr	18.1	28.9	14.9	8.6	15.6	17.3	17.9	NA
xglm-rand-label-trim	en-fr	17.7	28.6	14.0	9.0	15.4	17.0	17.8	11.9
verbose-base-trim	en-fr	19.0	30.0	14.9	9.2	16.6	18.4	18.9	12.8
xglm-keywords30-seen500-trim	en-fr	18.9	28.7	14.5	8.8	15.6	17.4	18.4	NA
xglm-rand-keywords10-seen500-trim	en-fr	18.0	28.5	14.3	8.5	15.2	17.3	17.8	NA
xglm-rand-keywords10-seen-all-trim	en-fr	18.1	28.6	14.5	8.7	15.3	17.2	18.3	NA
xglm-rand-topic3shot-seen500-trim	en-fr	18.1	29.1	14.9	8.6	15.6	17.3	17.9	NA
xglm-rand-3shot-seen-all-trim	en-fr	18.0	28.8	14.4	8.6	15.7	17.6	18.1	NA
xglm-bm25-3shot-seen-all-trim	en-fr	18.3	29.5	14.7	9.2	15.6	17.7	18.3	NA
xglm-sentsim-3shot-seen-all-trim	en-fr	18.0	28.8	14.6	8.6	15.7	17.5	18.0	NA
xglm-topic1shot-seen500-trim	en-fr	17.8	28.7	14.3	8.5	15.2	17.0	17.8	NA
xglm-topic5shot-seen500-trim	en-fr	18.0	28.9	14.6	8.6	15.6	17.5	18.0	NA
xglm-topic3shot-seen200-trim	en-fr	17.9	28.5	14.5	8.7	15.3	17.4	17.8	12.1
xglm-topic3shot-seen1000-trim	en-fr	17.9	28.7	14.7	8.6	15.4	17.3	17.6	NA
xglm-bm25-3shot-langs-trim	en-fr	18.4	28.8	15.0	8.8	15.4	16.7	18.2	NA
xglm-sentsim-3shot-langs-trim	en-fr	18.5	28.8	14.8	8.6	15.9	16.6	17.8	NA
xglm-topic3shot-lang500-trim	en-fr	18.6	28.7	14.8	8.6	15.4	16.9	18.2	NA
xglm-topic3shot-domain200-trim	en-fr	18.2	28.5	14.8	8.6	15.8	16.7	17.9	NA
xglm-domain3shot-all-trim	en-fr	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-fr	18.1	28.6	14.7	8.6	15.7	17.5	17.9	NA
xglm-rand-topic3shot-seen200-trim	en-fr	17.9	28.7	14.5	8.6	15.6	17.4	18.0	12.4
