lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.0	84.8	54.0	88.0	89.8	90.6	96.2	58.4
en-de	76.6	72.4	58.0	95.2	91.6	86.2	97.8	61.4
en-fi	71.0	80.2	49.6	91.6	88.4	NA	95.8	50.0
en-fr	74.2	63.4	47.8	87.6	82.8	75.0	94.8	50.2
en-lt	74.4	81.0	57.0	88.2	88.2	NA	92.0	58.8
en-ro	77.8	84.4	54.2	90.4	92.0	90.0	97.8	61.0
en-ta	NA	NA	70.8	92.4	65.8	96.6	96.6	80.4
cs-en	NA	NA	NA	NA	NA	NA	NA	NA
fr-en	NA	NA	NA	NA	NA	NA	NA	NA
lt-en	NA	NA	NA	NA	NA	NA	NA	NA
ro-en	NA	NA	NA	NA	NA	NA	NA	NA
mean	75.7	77.7	55.9	90.5	85.5	87.7	95.9	60.0
