lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	30.3	50.2	48.4	11.6	22.4	30.0	16.4	47.9
en-de	33.9	58.8	53.1	11.4	23.0	32.4	18.1	50.2
en-fi	29.9	40.8	46.1	10.8	20.0	NA	14.4	51.6
en-fr	40.6	64.8	59.7	16.6	31.3	45.3	21.6	55.4
en-lt	29.3	49.6	35.1	12.1	27.1	NA	25.4	41.4
en-ro	32.7	52.6	43.5	11.3	17.5	29.2	17.6	52.8
en-ta	NA	NA	26.9	13.6	26.2	23.4	17.9	29.1
cs-en	NA	NA	NA	NA	NA	NA	NA	NA
fr-en	NA	NA	NA	NA	NA	NA	NA	NA
lt-en	NA	NA	NA	NA	NA	NA	NA	NA
ro-en	NA	NA	NA	NA	NA	NA	NA	NA
mean	32.8	52.8	44.7	12.5	23.9	32.1	18.8	46.9
