lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.7	NA	NA	72.7	74.5	66.1	77.4	NA
en-de	79.4	NA	76.7	75.7	76.7	70.4	80.0	NA
en-fi	78.9	NA	77.2	75.8	79.1	NA	81.3	NA
en-fr	80.8	NA	NA	75.7	77.6	70.1	81.4	NA
en-lt	50.0	NA	NA	52.2	45.6	NA	44.7	NA
en-ro	79.9	NA	NA	76.4	76.8	68.9	81.2	NA
en-ta	NA	NA	NA	47.6	37.0	31.0	38.5	NA
cs-en	83.9	NA	NA	77.6	78.9	NA	81.6	NA
fr-en	83.4	NA	NA	78.8	81.5	NA	85.1	NA
lt-en	71.4	NA	65.5	56.0	57.8	NA	58.8	NA
ro-en	83.2	NA	NA	78.7	79.6	NA	84.1	NA
mean	77.2	NA	73.1	69.7	69.6	61.3	72.2	NA
