lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.9	26.3	9.6	7.4	12.6	20.0	13.9	14.3
en-de	16.7	27.8	13.5	8.1	14.0	23.0	16.6	13.1
en-fi	14.4	20.4	8.7	6.7	11.1	NA	12.2	16.8
en-fr	20.1	30.0	19.0	9.2	16.2	23.2	18.4	13.3
en-lt	17.3	30.2	9.2	8.7	25.0	NA	23.4	17.0
en-ro	18.1	27.4	8.0	8.1	14.0	18.8	16.2	19.5
en-ta	NA	NA	9.7	10.2	22.2	20.7	17.8	16.7
cs-en	21.5	38.6	13.1	7.6	14.0	NA	16.2	NA
fr-en	22.9	33.8	20.0	8.4	NA	NA	17.6	NA
lt-en	21.6	37.5	14.6	9.0	16.8	NA	16.8	NA
ro-en	21.3	32.5	14.2	8.7	14.6	NA	16.0	NA
mean	19.1	30.4	12.7	8.4	16.1	21.1	16.8	15.8
