lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	23.3	25.1	24.3	11.8	15.2	16.3	15.8	NA
en-de	27.9	28.6	22.7	18.1	24.8	20.6	23.0	NA
en-fi	16.8	22.3	23.7	8.3	16.5	NA	17.1	NA
en-fr	33.9	38.5	36.0	23.5	30.4	29.6	31.5	NA
en-lt	9.3	NA	13.2	1.6	4.1	NA	4.2	NA
en-ro	27.2	28.0	24.0	14.7	18.2	15.8	22.6	NA
en-ta	NA	NA	1.5	1.1	NA	0.1	0.2	NA
cs-en	52.1	45.0	48.6	26.1	NA	NA	35.5	NA
fr-en	51.2	52.7	49.9	28.9	38.8	NA	40.9	NA
lt-en	33.4	NA	33.2	9.5	20.8	NA	24.0	NA
ro-en	54.3	52.0	47.4	32.6	37.4	NA	40.9	NA
mean	32.9	36.5	29.5	16.0	22.9	16.5	23.2	NA
