lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.4	21.8	13.0	11.3	14.2	4.2	15.2	NA
en-de	23.7	26.4	18.7	18.4	21.6	12.3	22.4	NA
en-fi	10.6	8.0	13.4	6.3	11.6	NA	12.6	NA
en-fr	31.1	34.8	33.9	22.8	29.4	13.0	30.8	NA
en-lt	3.4	4.3	5.4	1.0	0.9	NA	1.3	NA
en-ro	20.9	23.5	21.0	14.5	17.3	5.1	20.2	NA
en-ta	NA	NA	0.5	0.8	0.5	0.1	0.1	NA
cs-en	32.7	35.9	22.6	26.2	26.3	10.1	27.2	NA
fr-en	38.8	42.0	35.1	28.2	36.1	16.5	35.1	NA
lt-en	11.3	16.1	8.9	5.7	8.6	NA	9.1	NA
ro-en	38.9	41.1	27.9	32.6	31.0	10.2	35.7	NA
mean	22.8	25.4	18.2	15.3	18.0	8.9	19.1	NA
