modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-lt	19.0	59.4	43.2	72.8	56.2	NA	57.8	34.2
xglm-label-trim	en-lt	54.8	86.4	39.2	89.2	83.8	NA	86.0	45.4
xglm-keywords10-seen500-trim	en-lt	77.4	95.2	71.4	91.4	89.8	NA	91.6	NA
xglm-topic3shot-seen500-trim	en-lt	95.0	97.6	86.8	90.2	94.2	NA	94.8	NA
xglm-rand-label-trim	en-lt	50.6	82.6	52.2	84.4	83.2	NA	82.8	56.2
verbose-base-trim	en-lt	91.8	92.6	88.0	90.2	94.0	NA	95.2	83.0
xglm-keywords30-seen500-trim	en-lt	78.4	92.8	71.2	88.6	89.0	NA	90.2	NA
xglm-rand-keywords10-seen500-trim	en-lt	76.2	93.0	69.8	91.4	93.0	NA	94.2	NA
xglm-rand-keywords10-seen-all-trim	en-lt	71.8	93.4	72.0	91.4	90.2	NA	93.0	NA
xglm-rand-topic3shot-seen500-trim	en-lt	95.0	97.6	86.8	90.2	93.8	NA	94.8	NA
xglm-rand-3shot-seen-all-trim	en-lt	73.6	88.2	74.8	85.6	85.6	NA	87.4	NA
xglm-bm25-3shot-seen-all-trim	en-lt	65.2	80.6	63.4	76.6	72.8	NA	78.0	NA
xglm-sentsim-3shot-seen-all-trim	en-lt	70.8	86.8	76.0	83.4	82.2	NA	86.2	NA
xglm-topic1shot-seen500-trim	en-lt	87.8	97.0	86.2	91.4	93.6	NA	93.4	NA
xglm-topic5shot-seen500-trim	en-lt	95.4	98.4	89.6	92.8	94.4	NA	95.6	NA
xglm-topic3shot-seen200-trim	en-lt	94.4	96.0	87.0	92.2	94.4	NA	94.8	83.6
xglm-topic3shot-seen1000-trim	en-lt	94.8	97.8	89.6	92.6	95.2	NA	94.0	NA
xglm-bm25-3shot-langs-trim	en-lt	98.4	98.4	95.8	96.8	98.0	NA	99.0	NA
xglm-sentsim-3shot-langs-trim	en-lt	97.0	99.4	94.8	95.8	97.2	NA	98.0	NA
xglm-topic3shot-lang500-trim	en-lt	96.2	97.8	91.0	95.0	97.4	NA	97.8	NA
xglm-topic3shot-domain200-trim	en-lt	93.2	97.6	89.0	92.0	94.0	NA	95.8	NA
xglm-domain3shot-all-trim	en-lt	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-lt	96.4	97.8	89.8	94.4	95.4	NA	97.0	NA
xglm-rand-topic3shot-seen200-trim	en-lt	93.2	97.4	86.6	93.2	92.8	NA	95.2	82.6
