modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	cs-en	82.4	81.3	77.3	76.3	77.8	66.6	80.7	79.1
xglm-label-trim	cs-en	83.1	82.4	81.3	77.4	79.0	68.6	81.9	NA
xglm-keywords10-seen500-trim	cs-en	83.2	82.9	79.5	77.5	79.3	66.3	81.6	NA
xglm-topic3shot-seen500-trim	cs-en	83.9	84.3	82.2	77.9	79.2	66.7	81.8	NA
xglm-rand-label-trim	cs-en	82.9	82.5	80.1	77.2	78.8	66.0	81.6	NA
verbose-base-trim	cs-en	72.5	73.6	72.4	72.0	71.7	62.6	73.1	NA
xglm-keywords30-seen500-trim	cs-en	83.1	82.9	80.0	77.5	79.2	64.9	81.9	NA
xglm-rand-keywords10-seen500-trim	cs-en	83.1	82.6	80.2	77.4	78.7	66.2	81.7	NA
xglm-rand-keywords10-seen-all-trim	cs-en	83.0	82.6	79.8	77.5	79.2	66.6	81.9	NA
xglm-rand-topic3shot-seen500-trim	cs-en	84.0	84.3	82.2	78.0	79.2	66.7	81.8	NA
xglm-rand-3shot-seen-all-trim	cs-en	76.4	73.7	74.3	74.0	71.8	57.8	75.2	NA
xglm-bm25-3shot-seen-all-trim	cs-en	76.3	73.2	73.9	73.7	71.7	57.8	75.2	NA
xglm-sentsim-3shot-seen-all-trim	cs-en	76.5	73.7	73.9	73.7	71.8	58.5	75.3	NA
xglm-topic1shot-seen500-trim	cs-en	82.2	83.5	80.3	77.3	79.1	66.9	81.5	NA
xglm-topic5shot-seen500-trim	cs-en	84.2	84.3	82.3	77.8	79.3	66.1	81.7	NA
xglm-topic3shot-seen200-trim	cs-en	83.9	82.7	77.9	77.1	79.1	65.8	81.4	76.5
xglm-topic3shot-seen1000-trim	cs-en	84.1	84.2	81.9	77.6	79.5	66.4	81.6	NA
xglm-bm25-3shot-langs-trim	cs-en	84.8	85.0	84.6	77.9	80.3	69.3	82.8	NA
xglm-sentsim-3shot-langs-trim	cs-en	85.0	84.7	84.0	78.2	79.9	68.9	82.5	NA
xglm-topic3shot-lang500-trim	cs-en	84.4	84.3	81.2	78.1	79.9	67.0	82.3	NA
xglm-topic3shot-domain200-trim	cs-en	84.2	84.1	82.5	78.0	79.9	68.2	82.6	NA
xglm-domain3shot-all-trim	cs-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	cs-en	83.4	83.5	81.3	78.3	79.9	NA	82.4	NA
xglm-rand-topic3shot-seen200-trim	cs-en	82.2	81.7	76.9	75.7	77.3	65.8	80.2	NA
