lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	83.9	87.2	83.2	74.6	78.0	71.0	79.2	NA
en-de	80.5	83.2	79.3	75.9	77.9	73.8	80.2	NA
en-fi	82.3	86.7	80.7	76.9	81.3	NA	82.5	NA
en-fr	82.3	86.5	79.3	75.6	77.5	74.7	81.7	NA
en-lt	63.2	56.9	70.4	58.1	53.0	NA	52.1	NA
en-ro	83.5	87.6	79.9	78.2	78.3	74.0	82.7	NA
en-ta	NA	NA	52.7	56.0	45.3	36.2	39.0	NA
cs-en	85.0	84.7	84.0	78.2	79.9	68.9	82.5	NA
fr-en	84.3	86.8	83.3	79.6	82.0	72.3	85.4	NA
lt-en	76.8	75.9	73.2	64.9	67.3	NA	69.2	NA
ro-en	84.2	86.3	82.8	80.6	81.1	69.1	85.4	NA
mean	80.6	82.2	77.2	72.6	72.9	67.5	74.5	NA
