modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	fr-en	82.7	83.9	78.0	79.2	81.2	73.2	84.8	87.6
xglm-label-trim	fr-en	83.1	85.1	80.7	79.7	81.8	73.9	85.3	NA
xglm-keywords10-seen500-trim	fr-en	83.3	85.0	80.1	79.3	81.7	72.9	85.2	NA
xglm-topic3shot-seen500-trim	fr-en	83.9	86.2	81.5	79.8	82.0	72.8	85.3	NA
xglm-rand-label-trim	fr-en	83.0	84.6	79.8	79.4	81.8	73.0	85.2	NA
verbose-base-trim	fr-en	80.4	83.2	75.6	78.0	79.2	73.2	82.9	NA
xglm-keywords30-seen500-trim	fr-en	83.1	85.0	79.4	79.3	81.6	72.9	85.0	NA
xglm-rand-keywords10-seen500-trim	fr-en	83.0	85.0	79.8	79.4	81.6	72.9	85.0	NA
xglm-rand-keywords10-seen-all-trim	fr-en	83.3	85.1	79.3	79.3	81.7	73.3	85.2	NA
xglm-rand-topic3shot-seen500-trim	fr-en	83.9	86.2	81.5	79.8	82.0	72.8	85.3	NA
xglm-rand-3shot-seen-all-trim	fr-en	76.2	77.1	71.7	73.0	73.2	65.7	77.1	NA
xglm-bm25-3shot-seen-all-trim	fr-en	76.0	76.8	71.5	72.4	72.9	65.7	76.9	NA
xglm-sentsim-3shot-seen-all-trim	fr-en	76.1	77.3	71.7	72.6	73.4	66.2	77.2	NA
xglm-topic1shot-seen500-trim	fr-en	81.5	85.6	80.3	79.4	81.7	73.1	85.3	NA
xglm-topic5shot-seen500-trim	fr-en	83.9	86.4	81.8	79.9	82.0	72.9	85.4	NA
xglm-topic3shot-seen200-trim	fr-en	83.5	85.3	81.3	78.9	81.4	73.1	85.0	87.4
xglm-topic3shot-seen1000-trim	fr-en	83.6	86.3	81.3	79.6	81.7	72.9	85.2	NA
xglm-bm25-3shot-langs-trim	fr-en	84.6	86.8	84.3	79.6	81.8	72.4	85.2	NA
xglm-sentsim-3shot-langs-trim	fr-en	84.3	86.8	83.3	79.6	82.0	72.3	85.4	NA
xglm-topic3shot-lang500-trim	fr-en	83.6	86.6	81.7	79.5	81.7	73.7	85.4	NA
xglm-topic3shot-domain200-trim	fr-en	83.5	86.3	82.0	80.2	82.1	73.5	85.6	NA
xglm-domain3shot-all-trim	fr-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	fr-en	83.4	85.6	81.2	79.7	82.2	NA	85.5	NA
xglm-rand-topic3shot-seen200-trim	fr-en	82.4	84.8	79.1	78.3	80.9	73.1	84.6	NA
