lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	69.8	86.6	72.2	78.2	85.0	90.6	84.6	NA
en-de	77.2	92.6	75.8	92.0	89.2	91.8	92.4	NA
en-fi	70.6	76.6	72.0	81.4	84.2	NA	90.4	NA
en-fr	80.0	93.4	79.0	87.6	88.8	92.0	92.4	NA
en-lt	70.8	86.2	75.6	82.6	81.6	NA	85.6	NA
en-ro	80.6	94.2	75.0	88.8	90.4	95.2	94.4	NA
en-ta	NA	NA	80.2	90.6	72.6	90.2	93.0	NA
cs-en	1.0	5.4	3.2	2.4	1.8	7.0	2.6	NA
fr-en	1.0	7.0	4.0	3.2	5.8	5.4	4.2	NA
lt-en	0.6	1.0	2.0	1.4	1.2	NA	0.6	NA
ro-en	0.4	3.2	1.8	0.4	3.0	4.8	1.4	NA
mean	45.2	54.6	49.2	55.3	54.9	59.6	58.3	NA
