lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	20.4	23.2	23.6	11.9	14.5	4.4	15.3	NA
en-de	26.6	27.7	22.4	19.0	23.5	12.2	23.9	NA
en-fi	12.7	10.4	21.4	8.1	13.3	NA	13.0	NA
en-fr	32.1	36.1	35.2	24.1	29.6	12.5	30.5	NA
en-lt	5.4	5.4	7.1	1.0	1.1	NA	1.6	NA
en-ro	25.8	25.8	23.4	16.8	18.2	5.7	20.9	NA
en-ta	NA	NA	1.0	1.0	0.6	0.0	0.2	NA
cs-en	38.1	41.1	33.0	27.5	25.6	10.1	27.8	NA
fr-en	42.4	47.9	40.5	29.5	35.9	16.2	35.6	NA
lt-en	16.6	20.3	13.5	6.1	9.1	NA	9.2	NA
ro-en	41.6	45.5	34.0	33.1	31.0	9.4	35.5	NA
mean	26.2	28.3	23.2	16.2	18.4	8.8	19.4	NA
