lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	13.9	24.2	6.2	6.8	10.9	17.5	15.6	13.3
en-de	15.1	26.2	11.0	7.7	14.0	16.7	16.3	10.7
en-fi	13.8	17.9	5.6	7.0	11.3	NA	12.5	13.6
en-fr	17.7	28.6	14.0	9.0	15.4	17.0	17.8	11.9
en-lt	14.9	30.0	5.9	8.8	20.3	NA	20.9	12.8
en-ro	16.5	27.5	6.1	8.2	13.5	17.1	16.1	16.6
en-ta	NA	NA	8.4	10.2	17.2	22.5	15.8	16.0
cs-en	18.1	29.9	7.2	7.5	12.8	24.1	15.8	NA
fr-en	16.7	30.3	14.4	7.9	14.4	17.2	16.6	NA
lt-en	17.0	31.6	6.7	6.5	15.0	NA	15.6	NA
ro-en	18.1	29.4	7.5	7.9	14.0	16.5	15.8	NA
mean	16.2	27.6	8.5	8.0	14.4	18.6	16.3	13.6
