lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.3	85.2	80.3	74.1	74.9	66.2	78.1	NA
en-de	79.3	82.3	78.1	75.9	77.3	71.3	80.8	NA
en-fi	79.4	83.2	78.5	76.1	78.4	NA	81.8	NA
en-fr	80.8	85.0	77.6	75.5	77.4	70.7	82.2	NA
en-lt	52.1	47.5	65.4	52.2	45.2	NA	44.3	NA
en-ro	79.8	86.2	77.8	75.4	77.4	68.5	82.1	NA
en-ta	NA	NA	51.8	49.0	40.0	31.4	40.2	NA
cs-en	84.2	84.1	82.5	78.0	79.9	68.2	82.6	NA
fr-en	83.5	86.3	82.0	80.2	82.1	73.5	85.6	NA
lt-en	71.9	71.3	67.2	58.5	60.8	NA	63.0	NA
ro-en	83.0	85.6	81.5	79.7	80.8	68.4	85.2	NA
mean	77.4	79.7	74.8	70.4	70.4	64.8	73.3	NA
