lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	97.8	99.2	95.0	95.4	97.2	98.4	99.4	NA
en-de	97.4	99.8	94.6	98.0	98.6	99.8	99.8	NA
en-fi	97.4	99.8	95.0	97.4	98.6	NA	99.4	NA
en-fr	98.0	99.4	93.8	96.4	97.4	99.6	99.0	NA
en-lt	97.0	99.4	94.8	95.8	97.2	NA	98.2	NA
en-ro	98.4	99.6	92.0	94.2	98.0	99.2	99.8	NA
en-ta	NA	NA	92.0	98.0	99.2	99.8	97.6	NA
cs-en	98.6	99.6	95.6	97.6	99.8	100.0	99.6	NA
fr-en	98.6	99.8	95.8	98.4	99.2	100.0	99.6	NA
lt-en	98.8	98.6	91.0	97.2	99.6	NA	99.4	NA
ro-en	99.0	99.8	91.6	98.0	99.2	99.8	99.8	NA
mean	98.1	99.5	93.7	96.9	98.5	99.6	99.2	NA
