lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.6	22.0	23.6	10.8	13.5	4.7	15.5	20.2
en-de	26.3	27.1	21.6	18.0	23.8	12.3	23.2	29.9
en-fi	13.7	10.3	19.3	7.6	13.4	NA	14.1	16.3
en-fr	31.8	36.0	34.7	22.3	30.3	13.4	30.6	40.0
en-lt	6.2	6.0	7.1	1.2	1.1	NA	1.6	6.9
en-ro	24.1	25.5	22.0	15.9	17.7	6.1	21.2	24.2
en-ta	NA	NA	1.0	1.0	0.9	0.4	0.2	2.0
cs-en	38.2	37.7	28.7	25.7	26.5	NA	28.4	NA
fr-en	40.6	45.7	38.2	28.5	35.2	NA	35.4	NA
lt-en	14.1	15.5	8.9	4.7	8.0	NA	9.1	NA
ro-en	40.5	42.7	28.8	31.5	31.0	NA	35.2	NA
mean	25.4	26.9	21.3	15.2	18.3	7.4	19.5	19.9
