modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	lt-en	22.4	40.6	14.4	6.8	16.3	NA	17.1	19.9
xglm-label-trim	lt-en	16.4	33.8	6.2	6.2	14.1	NA	15.0	NA
xglm-keywords10-seen500-trim	lt-en	19.0	33.0	9.0	6.7	15.3	NA	16.2	NA
xglm-topic3shot-seen500-trim	lt-en	17.2	31.0	7.1	6.5	13.8	NA	15.3	NA
xglm-rand-label-trim	lt-en	17.0	31.6	6.7	6.5	15.0	NA	15.6	NA
verbose-base-trim	lt-en	20.5	35.3	8.2	7.2	16.9	NA	18.4	NA
xglm-keywords30-seen500-trim	lt-en	19.1	36.1	11.6	6.4	14.6	NA	15.6	NA
xglm-rand-keywords10-seen500-trim	lt-en	19.6	35.9	10.2	6.5	14.5	NA	16.6	NA
xglm-rand-keywords10-seen-all-trim	lt-en	17.6	35.2	9.5	6.9	16.2	NA	16.3	NA
xglm-rand-topic3shot-seen500-trim	lt-en	17.2	31.0	7.1	6.5	13.8	NA	15.3	NA
xglm-rand-3shot-seen-all-trim	lt-en	14.0	21.1	5.6	5.1	11.4	NA	12.4	NA
xglm-bm25-3shot-seen-all-trim	lt-en	14.1	21.2	5.6	5.1	11.4	NA	12.4	NA
xglm-sentsim-3shot-seen-all-trim	lt-en	14.0	21.2	5.7	5.1	11.5	NA	12.4	NA
xglm-topic1shot-seen500-trim	lt-en	16.4	31.2	7.1	6.7	14.6	NA	15.3	NA
xglm-topic5shot-seen500-trim	lt-en	17.3	30.9	7.1	6.6	14.3	NA	15.7	NA
xglm-topic3shot-seen200-trim	lt-en	16.8	31.2	8.2	6.2	13.8	NA	15.1	15.0
xglm-topic3shot-seen1000-trim	lt-en	16.7	29.4	7.0	6.4	14.4	NA	15.9	NA
xglm-bm25-3shot-langs-trim	lt-en	17.1	30.4	6.5	7.2	15.6	NA	16.0	NA
xglm-sentsim-3shot-langs-trim	lt-en	16.5	30.9	6.7	6.8	14.7	NA	15.7	NA
xglm-topic3shot-lang500-trim	lt-en	17.0	30.4	7.1	6.6	14.9	NA	15.5	NA
xglm-topic3shot-domain200-trim	lt-en	16.5	31.3	6.8	6.6	15.0	NA	16.4	NA
xglm-domain3shot-all-trim	lt-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	lt-en	17.9	31.6	7.3	6.4	14.2	NA	15.3	NA
xglm-rand-topic3shot-seen200-trim	lt-en	18.2	28.0	11.1	8.8	15.6	NA	16.6	NA
