lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	95.6	99.2	90.6	92.8	94.8	98.6	99.0	87.0
en-de	97.6	100.0	92.6	98.8	98.8	99.8	99.4	95.4
en-fi	95.0	98.6	88.2	95.4	96.0	NA	99.4	87.6
en-fr	96.6	99.2	89.8	95.6	97.4	99.6	99.0	95.4
en-lt	93.2	96.2	86.8	94.0	93.2	NA	95.2	84.8
en-ro	96.4	99.6	86.0	94.2	96.6	98.6	99.2	88.6
en-ta	NA	NA	94.4	97.4	94.8	97.8	98.8	95.6
cs-en	97.8	99.2	96.0	97.8	99.2	NA	99.6	NA
fr-en	98.2	100.0	95.8	98.6	99.4	NA	99.6	NA
lt-en	95.8	98.0	89.2	94.8	97.6	NA	98.6	NA
ro-en	99.0	100.0	91.4	96.6	98.8	NA	99.4	NA
mean	96.5	99.0	91.0	96.0	97.0	98.9	98.8	90.6
