lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	NA	NA	15.6	13.2	13.4	4.7	NA	NA
en-de	NA	NA	NA	NA	NA	NA	22.3	NA
en-fi	8.9	8.0	13.2	6.3	11.5	NA	12.6	NA
en-fr	29.6	34.7	32.4	24.0	30.5	12.6	30.9	NA
en-lt	2.7	3.7	5.1	1.0	1.0	NA	1.2	NA
en-ro	17.8	23.1	14.5	14.7	16.6	4.9	19.4	NA
en-ta	NA	NA	0.5	0.8	0.6	0.0	0.1	NA
cs-en	32.6	35.2	24.0	26.0	26.0	10.3	27.7	NA
fr-en	38.5	41.6	33.0	28.4	35.6	16.8	34.9	NA
lt-en	11.1	14.8	7.8	5.0	9.3	NA	9.6	NA
ro-en	37.2	38.6	23.1	32.7	31.2	9.6	35.3	NA
mean	22.3	25.0	16.9	15.2	17.6	8.4	19.4	NA
