lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.0	24.0	21.6	11.9	13.1	4.7	14.3	NA
en-de	25.9	26.0	22.2	19.3	23.5	11.8	23.0	NA
en-fi	12.5	9.9	18.0	5.6	14.0	NA	13.2	NA
en-fr	32.3	36.5	34.2	23.8	30.7	12.7	31.6	NA
en-lt	5.8	5.5	5.6	1.1	1.2	NA	1.3	NA
en-ro	24.4	24.8	23.0	16.8	18.6	5.6	21.8	NA
en-ta	NA	NA	1.3	0.7	0.5	0.0	0.1	NA
cs-en	36.4	38.2	28.0	25.7	25.0	NA	27.2	NA
fr-en	41.6	45.8	37.0	28.4	35.3	NA	35.1	NA
lt-en	15.0	16.7	7.9	4.7	6.3	NA	7.1	NA
ro-en	41.9	44.2	28.4	30.7	29.7	NA	33.7	NA
mean	25.4	27.2	20.7	15.3	18.0	7.0	18.9	NA
