lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.3	24.4	6.2	7.2	11.6	16.9	13.8	12.7
en-de	15.1	26.4	11.3	7.7	13.6	16.6	16.4	11.1
en-fi	12.9	18.3	5.6	6.5	10.2	NA	12.2	12.9
en-fr	18.1	29.0	14.5	8.9	15.4	16.9	18.1	12.4
en-lt	16.4	28.4	6.4	8.7	24.9	NA	23.3	15.4
en-ro	17.6	27.0	6.8	8.1	13.8	16.9	16.2	17.6
en-ta	NA	NA	8.7	10.2	21.4	20.6	17.8	16.3
cs-en	17.3	29.9	7.4	7.5	12.7	NA	15.7	NA
fr-en	16.6	29.7	14.1	7.7	14.5	NA	16.5	NA
lt-en	17.7	31.3	8.2	8.4	15.0	NA	15.4	NA
ro-en	17.6	29.9	8.0	7.9	14.0	NA	15.8	NA
mean	16.5	27.4	8.8	8.1	15.2	17.6	16.5	14.1
