lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.8	90.6	56.6	89.2	84.8	97.4	94.0	58.4
en-de	87.4	96.8	73.8	97.6	96.0	99.2	96.6	83.0
en-fi	62.4	92.4	50.0	91.8	90.4	NA	92.4	50.2
en-fr	89.4	96.8	70.0	93.0	93.4	98.8	98.0	83.6
en-lt	54.8	86.4	39.2	89.2	83.8	NA	86.0	45.4
en-ro	78.4	96.0	52.8	90.0	92.2	97.2	96.4	69.0
en-ta	NA	NA	49.4	93.0	62.4	96.2	97.6	71.0
cs-en	97.6	98.6	89.4	98.2	99.6	100.0	99.6	NA
fr-en	97.4	99.4	92.4	99.0	99.6	100.0	99.6	NA
lt-en	91.4	96.8	83.6	94.6	96.8	NA	98.2	NA
ro-en	97.4	99.2	85.4	98.4	99.4	99.6	99.6	NA
mean	83.3	95.3	67.5	94.0	90.8	98.5	96.2	65.8
