lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	8.1	9.2	2.0	7.3	6.3	2.1	13.2	NA
en-de	9.9	10.5	3.4	9.9	13.8	6.2	20.4	NA
en-fi	5.0	3.0	1.5	3.7	5.9	NA	11.2	NA
en-fr	13.3	14.3	6.3	8.6	13.0	3.9	23.4	NA
en-lt	2.2	2.8	0.7	0.8	0.9	NA	1.3	NA
en-ro	10.2	11.7	2.0	11.1	12.4	2.6	16.3	NA
en-ta	NA	NA	0.2	0.7	1.2	0.0	0.2	NA
cs-en	16.9	17.8	3.5	17.2	18.1	NA	23.7	NA
fr-en	17.1	18.4	8.2	9.6	20.0	NA	18.3	NA
lt-en	7.2	8.2	1.3	2.5	5.2	NA	7.6	NA
ro-en	20.3	19.5	3.2	15.9	19.4	NA	21.5	NA
mean	11.0	11.5	2.9	7.9	10.6	3.0	14.3	NA
