modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-cs	65.7	76.6	71.6	70.8	69.6	63.2	72.1	71.2
xglm-label-trim	en-cs	74.1	81.0	72.0	72.3	70.9	65.6	75.1	73.9
xglm-keywords10-seen500-trim	en-cs	78.6	83.3	74.8	73.0	74.8	65.8	76.9	NA
xglm-topic3shot-seen500-trim	en-cs	80.5	84.9	80.8	73.7	74.9	66.4	77.2	NA
xglm-rand-label-trim	en-cs	72.6	80.5	72.9	72.0	70.9	65.7	74.5	74.5
verbose-base-trim	en-cs	77.9	82.1	75.2	71.5	74.4	66.8	77.7	74.9
xglm-keywords30-seen500-trim	en-cs	78.2	83.0	75.6	72.7	73.9	65.9	76.9	NA
xglm-rand-keywords10-seen500-trim	en-cs	76.6	83.5	74.0	73.3	73.9	65.4	76.0	NA
xglm-rand-keywords10-seen-all-trim	en-cs	76.7	83.0	75.8	73.5	74.2	66.3	77.0	NA
xglm-rand-topic3shot-seen500-trim	en-cs	80.5	84.9	80.6	73.7	74.9	66.4	77.2	NA
xglm-rand-3shot-seen-all-trim	en-cs	78.3	83.1	77.8	73.1	74.3	65.3	76.0	NA
xglm-bm25-3shot-seen-all-trim	en-cs	75.8	81.0	75.8	69.2	72.0	63.9	72.6	NA
xglm-sentsim-3shot-seen-all-trim	en-cs	76.2	82.0	77.8	71.9	73.6	64.7	74.6	NA
xglm-topic1shot-seen500-trim	en-cs	79.0	84.1	77.7	71.6	73.6	65.0	76.7	NA
xglm-topic5shot-seen500-trim	en-cs	80.7	85.1	81.1	74.0	75.6	66.9	78.1	NA
xglm-topic3shot-seen200-trim	en-cs	80.6	83.0	79.8	73.5	74.3	67.2	76.7	78.6
xglm-topic3shot-seen1000-trim	en-cs	80.9	85.0	80.2	73.0	74.4	66.2	77.6	NA
xglm-bm25-3shot-langs-trim	en-cs	85.1	87.3	83.2	74.9	77.6	72.7	79.2	NA
xglm-sentsim-3shot-langs-trim	en-cs	83.9	87.2	83.2	74.6	78.0	71.0	79.2	NA
xglm-topic3shot-lang500-trim	en-cs	81.9	86.2	81.5	74.1	76.6	66.3	78.7	NA
xglm-topic3shot-domain200-trim	en-cs	80.3	85.2	80.3	74.1	74.9	66.2	78.1	NA
xglm-domain3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-cs	80.9	85.0	81.2	74.9	76.2	66.7	78.4	NA
xglm-rand-topic3shot-seen200-trim	en-cs	80.2	83.9	78.6	73.1	74.5	65.9	77.2	79.1
