lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	96.6	98.2	88.8	92.2	95.6	99.6	97.8	87.0
en-de	97.8	99.6	92.2	98.6	97.6	99.4	99.2	96.4
en-fi	96.0	97.6	87.8	94.8	96.0	NA	97.4	84.2
en-fr	95.6	99.0	91.2	95.0	97.0	99.2	99.4	94.6
en-lt	93.2	97.4	86.6	93.2	92.8	NA	95.2	82.6
en-ro	96.6	99.2	86.8	93.6	96.6	98.4	99.2	89.0
en-ta	NA	NA	91.8	98.4	94.8	99.2	99.6	95.0
cs-en	96.8	99.4	94.6	97.6	99.6	NA	99.6	NA
fr-en	97.2	99.0	96.2	99.0	99.6	NA	99.6	NA
lt-en	93.2	95.2	90.4	94.8	97.2	NA	97.6	NA
ro-en	98.8	99.4	89.8	97.4	98.4	NA	99.6	NA
mean	96.2	98.4	90.6	95.9	96.8	99.2	98.6	89.8
