lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.9	22.4	24.3	12.1	14.1	4.6	14.9	NA
en-de	25.2	26.7	21.3	18.5	22.6	12.6	23.8	NA
en-fi	11.8	9.0	21.9	6.0	13.4	NA	13.4	NA
en-fr	32.0	35.9	33.7	23.5	30.5	13.2	31.6	NA
en-lt	4.5	5.1	7.5	1.0	0.9	NA	1.5	NA
en-ro	23.6	25.1	23.0	16.2	17.8	6.1	21.5	NA
en-ta	NA	NA	1.3	0.9	0.6	0.0	0.1	NA
cs-en	36.9	39.9	32.4	26.8	27.2	NA	29.3	NA
fr-en	41.1	46.4	39.0	29.3	35.7	NA	36.7	NA
lt-en	16.3	18.9	14.1	5.6	9.4	NA	11.2	NA
ro-en	41.3	44.6	34.9	33.1	32.1	NA	36.7	NA
mean	25.1	27.4	23.0	15.7	18.6	7.3	20.1	NA
