lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	29.7	28.8	28.5	13.0	16.1	18.8	16.6	NA
en-de	30.7	32.8	25.6	17.8	24.8	23.2	23.0	NA
en-fi	21.9	22.8	23.9	8.4	19.4	NA	16.6	NA
en-fr	38.8	42.8	37.1	23.0	29.1	31.4	32.0	NA
en-lt	12.6	12.2	17.4	2.5	5.7	NA	6.2	NA
en-ro	35.0	34.2	28.0	19.8	19.2	24.8	23.2	NA
en-ta	NA	NA	1.5	2.3	2.4	0.5	0.2	NA
cs-en	45.2	43.2	37.0	26.7	28.2	16.3	30.0	NA
fr-en	47.5	49.6	42.1	28.7	36.4	18.0	36.5	NA
lt-en	28.3	28.2	23.6	10.9	17.3	NA	18.9	NA
ro-en	48.4	49.9	35.8	33.6	32.8	13.8	37.8	NA
mean	33.8	34.4	27.3	17.0	21.0	18.4	21.9	NA
