lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.5	22.9	22.9	11.1	12.5	3.9	12.9	NA
en-de	24.3	27.0	20.4	17.4	20.9	11.5	21.8	NA
en-fi	12.5	12.1	21.3	6.3	11.9	NA	12.7	NA
en-fr	30.1	37.0	33.3	22.0	28.5	11.9	29.3	NA
en-lt	6.9	7.5	12.4	1.9	1.3	NA	1.4	NA
en-ro	24.0	25.6	22.0	15.7	17.0	4.9	20.1	NA
en-ta	NA	NA	1.8	1.1	0.8	0.0	0.1	NA
cs-en	5.4	6.1	7.8	3.0	1.8	1.6	1.5	NA
fr-en	6.4	6.9	8.0	2.8	3.8	1.3	4.3	NA
lt-en	4.4	3.8	5.1	0.7	1.2	NA	0.9	NA
ro-en	5.8	5.1	6.6	2.2	3.0	1.0	2.3	NA
mean	13.7	15.4	14.7	7.7	9.3	4.5	9.8	NA
