lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.1	24.5	6.0	6.7	11.3	17.0	14.1	NA
en-de	15.8	26.9	11.1	7.8	13.9	16.8	16.4	NA
en-fi	13.1	18.7	5.3	7.0	9.9	NA	12.0	NA
en-fr	19.0	28.7	15.2	8.6	15.4	16.9	18.2	NA
en-lt	16.9	28.3	6.0	8.6	18.9	NA	21.7	NA
en-ro	17.7	26.9	6.9	7.6	13.6	17.1	16.0	NA
en-ta	NA	NA	8.8	10.2	25.3	20.2	18.1	NA
cs-en	17.6	29.7	7.4	7.6	13.0	22.6	15.8	NA
fr-en	16.7	29.4	14.3	7.7	14.3	17.4	16.5	NA
lt-en	17.0	30.4	7.1	6.6	14.9	NA	15.5	NA
ro-en	17.7	29.5	7.2	7.8	13.9	19.0	15.8	NA
mean	16.7	27.3	8.7	7.8	14.9	18.4	16.4	NA
