modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	fr-en	96.8	98.4	96.2	99.2	99.2	99.6	99.8	97.2
xglm-label-trim	fr-en	97.4	99.4	92.4	99.0	99.6	100.0	99.6	NA
xglm-keywords10-seen500-trim	fr-en	96.8	98.8	94.6	99.4	99.4	99.8	99.6	NA
xglm-topic3shot-seen500-trim	fr-en	98.4	99.8	96.4	98.8	99.6	99.8	99.6	NA
xglm-rand-label-trim	fr-en	97.0	99.4	93.6	99.0	99.6	99.8	99.8	NA
verbose-base-trim	fr-en	96.8	98.6	93.6	98.8	99.2	100.0	99.4	NA
xglm-keywords30-seen500-trim	fr-en	96.4	98.6	93.4	98.8	99.6	99.8	99.6	NA
xglm-rand-keywords10-seen500-trim	fr-en	97.4	98.8	93.4	99.0	99.6	100.0	99.6	NA
xglm-rand-keywords10-seen-all-trim	fr-en	97.0	99.0	93.4	99.0	99.6	100.0	99.6	NA
xglm-rand-topic3shot-seen500-trim	fr-en	98.4	99.8	96.4	98.8	99.6	99.8	99.6	NA
xglm-rand-3shot-seen-all-trim	fr-en	2.8	3.8	3.6	6.2	4.0	1.6	3.0	NA
xglm-bm25-3shot-seen-all-trim	fr-en	0.4	2.0	1.8	0.6	0.6	0.2	0.8	NA
xglm-sentsim-3shot-seen-all-trim	fr-en	1.0	7.0	4.0	3.2	5.8	5.4	4.2	NA
xglm-topic1shot-seen500-trim	fr-en	97.0	99.8	94.8	99.0	99.6	100.0	99.8	NA
xglm-topic5shot-seen500-trim	fr-en	98.6	99.8	96.2	98.8	99.4	99.8	99.8	NA
xglm-topic3shot-seen200-trim	fr-en	98.4	99.6	95.6	98.0	99.4	100.0	99.6	97.8
xglm-topic3shot-seen1000-trim	fr-en	98.8	99.8	95.8	98.6	99.6	100.0	99.6	NA
xglm-bm25-3shot-langs-trim	fr-en	98.0	99.8	97.0	98.6	99.2	100.0	99.8	NA
xglm-sentsim-3shot-langs-trim	fr-en	98.4	99.8	95.8	98.4	99.2	100.0	99.6	NA
xglm-topic3shot-lang500-trim	fr-en	98.2	99.8	96.2	99.4	99.8	100.0	99.8	NA
xglm-topic3shot-domain200-trim	fr-en	98.2	99.6	94.8	99.2	99.8	100.0	99.6	NA
xglm-domain3shot-all-trim	fr-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	fr-en	98.4	99.8	95.0	99.2	99.4	NA	99.6	NA
xglm-rand-topic3shot-seen200-trim	fr-en	97.2	99.0	96.2	99.0	99.6	NA	99.6	NA
