lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	19.2	22.6	25.6	12.9	14.3	4.8	15.5	NA
en-de	25.8	27.2	22.6	17.2	23.9	13.3	23.4	NA
en-fi	13.7	8.9	22.7	6.6	14.7	NA	15.0	NA
en-fr	33.2	37.1	36.3	24.4	30.9	14.1	31.7	NA
en-lt	5.5	6.4	7.8	1.1	1.6	NA	1.8	NA
en-ro	27.0	29.2	24.3	18.5	19.8	7.0	22.6	NA
en-ta	NA	NA	1.7	0.7	1.2	0.1	0.2	NA
cs-en	37.2	40.5	34.9	28.2	27.5	NA	30.4	NA
fr-en	41.5	46.4	39.0	30.5	36.3	NA	37.1	NA
lt-en	16.3	19.1	15.3	6.7	11.4	NA	13.0	NA
ro-en	42.3	45.0	35.3	34.3	32.7	NA	37.5	NA
mean	26.2	28.2	24.1	16.5	19.5	7.9	20.7	NA
