lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	NA	NA	2.1	6.7	6.1	2.0	NA	NA
en-de	NA	NA	NA	NA	NA	NA	21.4	NA
en-fi	3.8	3.2	1.8	4.2	6.3	NA	10.7	NA
en-fr	13.2	16.2	6.7	18.6	16.2	4.5	29.8	NA
en-lt	1.6	2.4	0.8	0.8	0.8	NA	1.1	NA
en-ro	8.3	10.6	1.7	12.5	13.7	2.7	18.0	NA
en-ta	NA	NA	0.2	0.6	0.9	0.0	0.1	NA
cs-en	18.8	21.6	4.7	25.9	22.5	5.8	27.6	NA
fr-en	20.5	24.2	14.6	22.6	26.8	10.2	32.2	NA
lt-en	7.4	8.6	2.2	4.9	7.2	NA	9.2	NA
ro-en	23.6	24.2	5.0	29.5	28.8	6.8	29.7	NA
mean	12.2	13.9	4.0	12.6	12.9	4.6	18.0	NA
