modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-cs	65.7	76.6	71.6	70.8	69.6	63.2	72.1	71.2
verbose-base-trim	en-cs	77.9	82.1	75.2	71.5	74.4	66.8	77.7	74.9
xglm-label-trim	en-cs	74.1	81.0	72.0	72.3	70.9	65.6	75.1	73.9
xglm-rand-label-trim	en-cs	72.6	80.5	72.9	72.0	70.9	65.7	74.5	74.5
xglm-keywords10-seen200-trim	en-cs	76.6	83.1	75.2	73.0	74.0	66.0	76.5	76.1
xglm-rand-keywords10-seen200-trim	en-cs	77.5	82.0	74.3	73.3	74.0	66.3	76.1	76.0
xglm-keywords10-all500-trim	en-cs	77.4	82.5	74.6	73.3	74.7	65.8	77.4	75.7
xglm-keywords30-seen200-trim	en-cs	77.3	82.4	75.2	73.0	73.8	66.6	77.1	NA
xglm-topic3shot-seen200-trim	en-cs	80.6	83.0	79.8	73.5	74.3	67.2	76.7	78.6
xglm-topic3shot-all500-trim	en-cs	80.6	85.1	79.5	73.0	74.6	66.2	77.5	79.7
xglm-topic3shot-cc100-trim	en-cs	79.9	83.9	79.2	73.0	75.2	66.7	77.1	79.9
xglm-topic1shot-seen200-trim	en-cs	79.1	84.4	77.8	73.1	73.4	64.8	75.8	77.5
xglm-rand-topic3shot-seen200-trim	en-cs	80.2	83.9	78.6	73.1	74.5	65.9	77.2	79.1
xglm-rand-domain3shot-langs-trim	en-cs	81.6	85.2	82.3	74.6	76.6	66.1	79.0	NA
xglm-rand-domain3shot-all-trim	en-cs	80.6	85.3	81.2	74.0	75.8	67.1	78.6	NA
xglm-truerand-3shot-langs-trim	en-cs	80.9	85.0	81.2	74.9	76.2	66.7	78.4	NA
xglm-truerand-3shot-all-trim	en-cs	81.0	84.8	80.7	73.5	75.0	66.7	77.3	NA
xglm-topic5shot-seen200-trim	en-cs	81.6	84.4	79.3	73.5	75.2	66.5	77.0	NA
xglm-keywords10-cc100-trim	en-cs	77.8	82.5	75.7	73.6	74.0	66.3	76.6	NA
xglm-keywords10-topic3shot-seen200-trim	en-cs	80.9	85.4	79.4	72.8	74.4	66.2	76.6	NA
xglm-rand-domainkeywords10-langs-trim	en-cs	78.1	83.7	76.5	72.7	74.2	65.3	77.0	NA
xglm-rand-domainkeywords10-all-trim	en-cs	75.2	82.7	75.8	72.2	72.7	NA	75.6	NA
xglm-truerand-keywords10-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-cs	NA	NA	74.6	73.8	72.9	66.1	NA	NA
xglm-topic3shot-seen500-trim	en-cs	80.5	84.9	80.8	73.7	74.9	66.4	77.2	NA
xglm-topic3shot-seen1000-trim	en-cs	80.9	85.0	80.2	73.0	74.4	66.2	77.6	NA
xglm-topic3shot-seen2000-trim	en-cs	80.7	85.3	80.1	73.8	74.9	66.2	77.5	NA
xglm-topic3shot-all500-trim	en-cs	80.6	85.1	79.5	73.0	74.6	66.2	77.5	79.7
xglm-topic3shot-all1000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langs-trim	en-cs	85.1	87.3	83.2	74.9	77.6	72.8	79.2	NA
xglm-sentsim-3shot-langs-trim	en-cs	84.0	NA	83.2	74.6	78.0	70.9	79.2	NA
xglm-sentsim-3shot-all-trim	en-cs	81.6	85.0	80.8	73.3	75.8	70.1	77.5	NA
xglm-topic3shot-lang200-trim	en-cs	82.0	85.8	81.0	74.9	76.3	66.2	78.8	NA
xglm-topic3shot-lang500-trim	en-cs	81.9	NA	81.5	74.1	76.6	66.3	78.7	NA
xglm-topic3shot-domain200-trim	en-cs	80.3	85.2	80.3	74.0	NA	NA	78.2	NA
xglm-topic3shot-domain500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	en-cs	75.8	81.0	75.8	69.2	NA	63.8	NA	NA
