lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	21.3	39.2	10.4	8.1	15.5	23.2	18.1	NA
en-de	20.0	45.7	12.9	8.2	15.9	23.1	18.7	NA
en-fi	18.4	35.7	8.5	9.1	15.1	NA	15.5	NA
en-fr	24.3	47.0	16.1	10.3	18.2	24.0	20.7	NA
en-lt	18.3	35.0	6.5	10.8	20.3	NA	23.6	NA
en-ro	19.1	32.4	7.4	9.0	15.7	18.9	17.1	NA
en-ta	NA	NA	8.5	10.4	25.6	22.6	18.6	NA
cs-en	16.3	24.5	6.4	6.5	11.1	17.0	13.8	NA
fr-en	19.3	30.2	15.7	8.1	15.2	16.7	17.6	NA
lt-en	14.2	21.2	5.6	5.1	11.4	NA	12.4	NA
ro-en	18.7	27.3	7.5	7.7	13.8	15.8	15.6	NA
mean	19.0	33.8	9.6	8.5	16.2	20.2	17.4	NA
