lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	97.6	97.8	91.2	93.4	95.8	98.8	98.2	NA
en-de	96.4	99.6	92.6	99.4	98.8	99.6	99.6	NA
en-fi	95.0	97.2	90.8	95.8	96.2	NA	98.8	NA
en-fr	96.6	99.0	90.6	95.4	97.8	99.6	99.0	NA
en-lt	94.2	97.0	85.2	94.0	94.2	NA	95.4	NA
en-ro	97.4	99.6	86.8	93.4	96.6	99.2	98.8	NA
en-ta	NA	NA	92.8	97.6	95.0	99.4	98.4	NA
cs-en	97.6	99.2	93.2	98.0	99.6	NA	99.6	NA
fr-en	97.4	99.2	94.4	98.4	99.4	NA	99.6	NA
lt-en	95.8	98.4	89.4	93.8	97.8	NA	97.6	NA
ro-en	98.6	100.0	92.0	97.8	99.0	NA	99.8	NA
mean	96.7	98.7	90.8	96.1	97.3	99.3	98.6	NA
