lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.6	22.1	23.8	12.9	15.1	4.9	15.6	NA
en-de	26.6	27.1	22.3	18.9	23.1	12.1	23.3	NA
en-fi	14.1	8.8	22.9	7.8	14.6	NA	14.9	NA
en-fr	32.6	35.7	34.9	23.8	30.1	13.6	30.9	NA
en-lt	5.8	5.2	8.5	1.3	1.3	NA	1.9	NA
en-ro	25.8	26.9	21.2	18.9	19.0	6.3	22.0	NA
en-ta	NA	NA	1.2	0.9	0.7	0.0	0.2	NA
cs-en	34.0	37.1	30.9	27.1	27.2	NA	28.5	NA
fr-en	39.5	42.6	38.4	28.8	36.4	NA	35.4	NA
lt-en	13.8	17.3	12.0	6.7	10.6	NA	11.8	NA
ro-en	39.5	40.6	31.0	32.6	32.2	NA	36.2	NA
mean	25.0	26.3	22.5	16.3	19.1	7.4	20.1	NA
