lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.5	84.9	80.6	73.7	74.9	66.4	77.2	NA
en-de	79.1	82.5	77.6	75.6	77.2	69.8	80.7	NA
en-fi	79.3	82.6	78.2	76.1	78.5	NA	81.4	NA
en-fr	81.2	85.3	77.8	75.9	77.3	70.2	81.3	NA
en-lt	49.3	46.4	64.4	52.0	45.3	NA	44.8	NA
en-ro	80.0	85.8	77.7	75.9	76.6	68.3	80.8	NA
en-ta	NA	NA	51.7	48.7	36.7	31.3	39.5	NA
cs-en	84.0	84.3	82.2	78.0	79.2	66.7	81.8	NA
fr-en	83.9	86.2	81.5	79.8	82.0	72.8	85.3	NA
lt-en	70.3	70.7	66.2	58.2	58.3	NA	60.1	NA
ro-en	82.6	85.4	80.9	79.2	80.1	65.3	84.3	NA
mean	77.0	79.4	74.4	70.3	69.6	63.9	72.5	NA
