lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.2	83.2	47.8	89.4	86.0	85.8	96.0	NA
en-de	78.0	76.4	57.0	96.6	92.8	84.0	97.2	NA
en-fi	65.4	76.0	41.8	89.2	84.4	NA	95.8	NA
en-fr	73.6	64.8	46.2	88.2	84.2	65.8	95.0	NA
en-lt	72.4	81.8	54.8	90.0	88.8	NA	93.6	NA
en-ro	78.6	84.2	55.4	91.0	93.2	90.0	97.8	NA
en-ta	NA	NA	72.0	94.0	71.2	95.2	96.6	NA
cs-en	90.4	81.6	68.0	96.4	97.4	94.4	98.4	NA
fr-en	89.2	87.2	78.8	94.0	95.4	92.6	96.0	NA
lt-en	87.4	86.4	70.8	91.8	93.4	NA	96.0	NA
ro-en	92.6	88.2	73.2	96.8	97.0	93.2	96.8	NA
mean	80.5	81.0	60.5	92.5	89.4	87.6	96.3	NA
