lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	NA	NA	53.9	67.1	65.0	59.1	NA	NA
en-de	NA	NA	NA	NA	NA	NA	76.2	NA
en-fi	63.7	65.9	51.0	69.0	72.1	NA	76.3	NA
en-fr	68.8	68.7	54.5	70.3	70.8	60.3	78.8	NA
en-lt	42.1	39.3	45.1	46.7	41.9	NA	42.0	NA
en-ro	64.4	69.2	51.8	68.9	71.3	61.1	76.2	NA
en-ta	NA	NA	38.3	45.7	37.1	32.1	38.2	NA
cs-en	75.3	74.0	61.6	71.3	73.1	62.1	77.0	NA
fr-en	74.2	74.7	66.8	72.9	75.0	66.9	80.1	NA
lt-en	60.0	60.0	49.6	52.6	55.5	NA	58.7	NA
ro-en	75.0	75.6	62.0	73.5	75.9	62.4	79.3	NA
mean	65.4	65.9	53.5	63.8	63.8	57.7	68.3	NA
