modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-cs	16.7	25.0	6.4	7.8	12.0	17.3	14.4	14.6
verbose-base-trim	en-cs	16.6	26.4	6.6	8.7	13.4	17.7	14.9	13.9
xglm-label-trim	en-cs	14.5	24.5	6.0	6.8	10.3	18.3	14.1	12.6
xglm-rand-label-trim	en-cs	13.9	24.2	6.2	6.8	10.9	17.5	15.6	13.3
xglm-keywords10-seen200-trim	en-cs	16.1	24.8	8.0	7.8	12.4	16.4	15.7	14.7
xglm-rand-keywords10-seen200-trim	en-cs	15.1	24.6	7.2	7.3	12.2	15.8	14.6	13.5
xglm-keywords10-all500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200-trim	en-cs	16.0	24.9	7.9	7.1	12.5	16.5	14.7	NA
xglm-topic3shot-seen200-trim	en-cs	14.7	24.8	6.1	6.9	12.4	15.8	14.5	13.1
xglm-topic3shot-all500-trim	en-cs	15.3	24.4	6.2	7.2	11.6	16.9	13.8	12.7
xglm-topic3shot-cc100-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200-trim	en-cs	14.6	24.8	7.1	7.2	12.4	16.7	14.3	12.8
xglm-rand-topic3shot-seen200-trim	en-cs	14.1	24.4	6.2	6.8	12.4	16.8	14.1	13.0
xglm-rand-domain3shot-langs-trim	en-cs	15.0	24.5	6.0	6.7	11.9	17.1	14.7	NA
xglm-rand-domain3shot-all-trim	en-cs	14.8	24.1	6.0	7.0	11.8	16.8	14.6	NA
xglm-truerand-3shot-langs-trim	en-cs	14.9	24.7	6.1	6.7	11.5	17.0	14.2	NA
xglm-truerand-3shot-all-trim	en-cs	14.8	24.3	6.0	7.2	11.5	16.6	14.5	NA
xglm-topic5shot-seen200-trim	en-cs	15.3	24.4	6.7	6.6	11.3	17.0	14.6	NA
xglm-keywords10-cc100-trim	en-cs	16.3	25.3	7.3	6.6	12.7	16.4	15.1	NA
xglm-keywords10-topic3shot-seen200-trim	en-cs	14.9	24.2	6.5	7.1	12.1	16.0	14.6	NA
xglm-rand-domainkeywords10-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500-trim	en-cs	15.3	24.4	6.2	7.2	11.6	16.9	13.8	12.7
xglm-topic3shot-all1000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-label-keywords10-topic3shot-seen200-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topn-topic3shot-seen500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-nostop-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-3shot-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-keywords10-seen-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-base-trim	en-de	15.6	28.1	11.6	7.7	13.8	16.5	15.8	11.8
verbose-base-trim	en-de	15.8	28.1	11.2	8.2	14.2	17.6	16.8	11.4
xglm-label-trim	en-de	15.0	26.4	11.0	7.8	13.6	16.7	16.5	10.6
xglm-rand-label-trim	en-de	15.1	26.2	11.0	7.7	14.0	16.7	16.3	10.7
xglm-keywords10-seen200-trim	en-de	15.7	26.9	11.7	7.8	14.0	16.9	16.5	11.2
xglm-rand-keywords10-seen200-trim	en-de	16.0	26.6	12.2	8.2	14.0	17.1	16.6	11.2
xglm-keywords10-all500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200-trim	en-de	16.3	26.2	11.8	8.1	14.4	17.2	16.7	NA
xglm-topic3shot-seen200-trim	en-de	15.0	26.3	11.2	7.8	13.9	16.7	16.4	10.9
xglm-topic3shot-all500-trim	en-de	15.1	26.4	11.3	7.7	13.6	16.6	16.4	11.1
xglm-topic3shot-cc100-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200-trim	en-de	15.4	26.5	11.2	7.8	13.9	16.8	16.6	11.0
xglm-rand-topic3shot-seen200-trim	en-de	15.5	26.3	11.2	7.9	14.0	17.2	16.4	10.7
xglm-rand-domain3shot-langs-trim	en-de	15.2	26.4	10.9	8.0	13.6	16.9	16.7	NA
xglm-rand-domain3shot-all-trim	en-de	15.0	26.7	11.0	7.7	13.6	16.5	16.4	NA
xglm-truerand-3shot-langs-trim	en-de	15.2	26.7	11.1	7.8	13.9	17.0	16.6	NA
xglm-truerand-3shot-all-trim	en-de	15.2	26.4	11.0	7.8	14.1	16.7	16.3	NA
xglm-topic5shot-seen200-trim	en-de	15.2	26.4	11.1	7.8	13.6	16.9	16.5	NA
xglm-keywords10-cc100-trim	en-de	15.5	26.4	11.9	8.2	13.8	16.9	16.3	NA
xglm-keywords10-topic3shot-seen200-trim	en-de	15.2	26.0	11.3	7.8	13.7	16.8	16.4	NA
xglm-rand-domainkeywords10-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all500-trim	en-de	15.1	26.4	11.3	7.7	13.6	16.6	16.4	11.1
xglm-topic3shot-all1000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang200-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-lang500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain200-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-domain500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-seen-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-label-keywords10-topic3shot-seen200-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topn-topic3shot-seen500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-3shot-seen-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-nostop-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-3shot-seen-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-keywords10-seen-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-base-trim	en-fi	17.3	19.5	6.5	7.2	11.8	NA	14.3	15.3
verbose-base-trim	en-fi	13.6	19.0	5.8	7.4	11.2	NA	12.6	13.6
xglm-label-trim	en-fi	13.6	17.0	5.8	7.1	11.2	NA	12.1	14.4
xglm-rand-label-trim	en-fi	13.8	17.9	5.6	7.0	11.3	NA	12.5	13.6
xglm-keywords10-seen200-trim	en-fi	14.4	19.2	7.1	7.2	11.2	NA	12.3	15.6
xglm-rand-keywords10-seen200-trim	en-fi	13.8	18.1	7.4	6.4	10.4	NA	12.3	15.5
xglm-keywords10-all500-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200-trim	en-fi	14.4	NA	7.9	7.1	10.7	NA	12.8	NA
xglm-topic3shot-seen200-trim	en-fi	12.5	17.7	5.2	6.9	10.3	NA	12.8	13.2
xglm-topic3shot-all500-trim	en-fi	12.9	18.3	5.6	6.5	10.2	NA	12.2	12.9
xglm-topic3shot-cc100-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200-trim	en-fi	12.8	17.6	5.1	6.5	10.7	NA	11.6	12.9
xglm-rand-topic3shot-seen200-trim	en-fi	12.9	17.9	5.6	6.8	10.7	NA	12.4	13.1
xglm-rand-domain3shot-langs-trim	en-fi	12.7	17.9	5.3	7.4	10.1	NA	12.1	NA
xglm-rand-domain3shot-all-trim	en-fi	12.6	17.8	5.2	7.1	10.5	NA	12.3	NA
xglm-truerand-3shot-langs-trim	en-fi	12.5	17.9	5.2	6.6	10.2	NA	12.1	NA
xglm-truerand-3shot-all-trim	en-fi	12.6	17.7	5.2	6.7	10.6	NA	12.0	NA
xglm-topic5shot-seen200-trim	en-fi	12.3	18.2	5.4	7.1	11.0	NA	12.3	NA
xglm-keywords10-cc100-trim	en-fi	13.3	19.0	7.0	6.7	10.8	NA	12.9	NA
xglm-keywords10-topic3shot-seen200-trim	en-fi	12.4	18.0	5.9	7.6	10.3	NA	12.4	NA
xglm-rand-domainkeywords10-langs-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen1000-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen2000-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
