lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.5	24.5	6.0	6.8	10.3	18.3	14.1	12.6
en-de	15.0	26.4	11.0	7.8	13.6	16.7	16.5	10.6
en-fi	13.6	17.0	5.8	7.1	11.2	NA	12.1	14.4
en-fr	18.1	28.7	14.2	8.7	14.9	17.1	17.6	12.0
en-lt	15.9	29.2	5.6	8.6	20.1	NA	21.8	14.3
en-ro	16.6	27.4	6.3	8.2	13.9	16.9	15.8	16.7
en-ta	NA	NA	7.0	10.0	18.4	22.9	15.8	16.8
cs-en	18.2	29.7	7.0	7.6	12.7	23.0	15.8	NA
fr-en	16.6	30.1	14.5	7.8	14.3	17.3	16.6	NA
lt-en	16.4	33.8	6.2	6.2	14.1	NA	15.0	NA
ro-en	17.9	29.4	7.1	7.9	13.9	17.2	15.8	NA
mean	16.3	27.6	8.2	7.9	14.3	18.7	16.1	13.9
