modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-de	71.8	74.0	72.1	75.0	74.4	68.5	78.2	80.4
xglm-label-trim	en-de	76.2	80.6	73.8	75.9	77.1	70.4	79.8	83.2
xglm-keywords10-seen500-trim	en-de	77.6	81.2	75.8	75.9	77.4	70.1	80.0	NA
xglm-topic3shot-seen500-trim	en-de	79.1	82.5	77.6	75.6	77.2	69.8	80.7	NA
xglm-rand-label-trim	en-de	75.6	80.4	73.4	75.7	76.9	70.2	79.8	83.4
verbose-base-trim	en-de	77.3	79.2	73.5	75.5	76.6	70.6	80.0	82.9
xglm-keywords30-seen500-trim	en-de	77.5	81.3	76.3	75.8	77.7	70.2	80.1	NA
xglm-rand-keywords10-seen500-trim	en-de	76.5	81.3	75.4	76.0	77.3	70.2	80.1	NA
xglm-rand-keywords10-seen-all-trim	en-de	76.9	81.2	75.6	76.2	77.2	70.4	80.2	NA
xglm-rand-topic3shot-seen500-trim	en-de	79.1	82.5	77.6	75.6	77.2	69.8	80.7	NA
xglm-rand-3shot-seen-all-trim	en-de	77.0	80.5	75.2	75.3	76.7	69.8	79.4	NA
xglm-bm25-3shot-seen-all-trim	en-de	76.4	79.8	74.6	73.8	76.0	68.9	78.5	NA
xglm-sentsim-3shot-seen-all-trim	en-de	76.3	80.6	76.2	74.8	75.9	68.8	79.0	NA
xglm-topic1shot-seen500-trim	en-de	78.1	81.3	75.9	74.8	76.3	69.0	79.8	NA
xglm-topic5shot-seen500-trim	en-de	79.5	82.4	78.2	75.8	77.4	70.3	80.1	NA
xglm-topic3shot-seen200-trim	en-de	79.4	81.9	76.3	75.7	76.6	69.9	79.8	85.6
xglm-topic3shot-seen1000-trim	en-de	79.0	82.3	78.1	75.6	76.6	70.4	79.7	NA
xglm-bm25-3shot-langs-trim	en-de	81.5	84.0	79.8	75.8	76.9	73.4	80.3	NA
xglm-sentsim-3shot-langs-trim	en-de	80.5	83.2	79.3	75.9	77.9	73.8	80.2	NA
xglm-topic3shot-lang500-trim	en-de	79.7	82.7	78.7	76.3	77.6	71.4	80.9	NA
xglm-topic3shot-domain200-trim	en-de	79.3	82.3	78.1	75.9	77.3	71.3	80.8	NA
xglm-domain3shot-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-de	79.5	82.2	77.5	76.2	77.6	70.6	81.0	NA
xglm-rand-topic3shot-seen200-trim	en-de	79.0	81.5	76.9	75.3	77.1	69.8	80.1	85.3
