lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.2	81.5	70.5	67.5	69.8	65.3	74.2	NA
en-de	73.8	78.6	69.5	70.1	72.4	68.7	75.9	NA
en-fi	75.4	78.2	68.3	70.4	74.2	NA	77.3	NA
en-fr	75.5	81.8	70.4	71.2	73.9	69.3	78.1	NA
en-lt	48.0	45.0	56.3	47.8	43.9	NA	42.2	NA
en-ro	74.6	82.5	67.2	70.2	72.3	66.7	76.3	NA
en-ta	NA	NA	47.2	47.1	38.0	33.3	39.0	NA
cs-en	79.0	80.8	70.1	71.7	74.2	64.7	77.4	NA
fr-en	78.3	82.6	72.7	73.7	77.0	70.5	81.0	NA
lt-en	67.2	68.3	55.9	53.4	55.5	NA	57.7	NA
ro-en	78.5	82.4	69.2	73.8	75.7	64.1	79.9	NA
mean	72.7	76.2	65.2	65.2	66.1	62.8	69.0	NA
