modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	ro-en	35.6	37.9	22.2	29.6	29.8	9.9	34.2	38.5
xglm-label-trim	ro-en	39.0	42.1	31.1	31.7	30.9	12.2	34.7	NA
xglm-keywords10-seen500-trim	ro-en	38.9	41.1	27.9	32.6	31.0	10.2	35.7	NA
xglm-topic3shot-seen500-trim	ro-en	41.0	45.3	32.9	31.9	30.8	9.6	35.6	NA
xglm-rand-label-trim	ro-en	38.3	39.0	27.5	30.8	30.6	9.5	34.9	NA
verbose-base-trim	ro-en	33.4	34.9	21.7	24.9	27.3	10.7	32.6	NA
xglm-keywords30-seen500-trim	ro-en	39.9	40.6	21.6	32.1	30.9	9.8	35.1	NA
xglm-rand-keywords10-seen500-trim	ro-en	38.5	40.0	28.0	32.2	30.9	9.2	34.8	NA
xglm-rand-keywords10-seen-all-trim	ro-en	38.9	39.8	25.9	32.0	31.3	10.0	35.2	NA
xglm-rand-topic3shot-seen500-trim	ro-en	41.0	45.2	32.8	31.9	30.9	9.6	35.7	NA
xglm-rand-3shot-seen-all-trim	ro-en	5.8	5.5	7.0	2.3	2.6	0.1	2.8	NA
xglm-bm25-3shot-seen-all-trim	ro-en	5.2	4.3	5.9	3.5	2.1	0.1	2.0	NA
xglm-sentsim-3shot-seen-all-trim	ro-en	5.8	5.1	6.6	2.2	3.0	1.0	2.3	NA
xglm-topic1shot-seen500-trim	ro-en	40.3	43.7	32.0	31.6	30.1	10.1	34.9	NA
xglm-topic5shot-seen500-trim	ro-en	41.6	45.5	34.0	33.1	31.0	9.4	35.5	NA
xglm-topic3shot-seen200-trim	ro-en	41.4	44.1	25.8	30.6	30.8	9.2	34.4	41.0
xglm-topic3shot-seen1000-trim	ro-en	43.0	45.6	32.5	32.4	31.6	9.7	35.2	NA
xglm-bm25-3shot-langs-trim	ro-en	48.3	49.9	40.6	33.0	32.8	14.3	38.4	NA
xglm-sentsim-3shot-langs-trim	ro-en	48.4	49.9	35.7	33.6	32.8	13.9	37.8	NA
xglm-topic3shot-lang500-trim	ro-en	42.0	45.8	34.1	32.4	32.0	12.8	36.7	NA
xglm-topic3shot-domain200-trim	ro-en	42.7	45.5	35.5	32.8	32.8	13.8	36.9	NA
xglm-domain3shot-all-trim	ro-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	ro-en	39.5	40.9	32.6	32.6	32.2	NA	36.2	NA
xglm-rand-topic3shot-seen200-trim	ro-en	38.7	39.7	24.0	29.2	29.6	9.2	33.2	NA
