lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	97.0	98.8	92.4	93.8	96.6	98.4	99.0	NA
en-de	97.8	99.8	92.8	99.0	98.6	99.4	99.6	NA
en-fi	96.6	98.4	91.2	96.4	98.6	NA	99.2	NA
en-fr	97.0	99.0	91.6	95.4	97.8	100.0	99.4	NA
en-lt	96.4	97.8	89.8	94.4	95.4	NA	97.0	NA
en-ro	97.0	99.2	89.4	94.2	98.0	98.6	99.2	NA
en-ta	NA	NA	96.4	98.4	98.4	99.8	99.4	NA
cs-en	97.6	99.2	94.2	97.4	99.6	NA	99.6	NA
fr-en	98.4	99.8	95.0	99.2	99.4	NA	99.6	NA
lt-en	96.0	98.2	89.8	96.2	98.4	NA	98.0	NA
ro-en	99.0	99.6	91.4	97.4	98.8	NA	99.6	NA
mean	97.3	99.0	92.2	96.5	98.1	99.2	99.1	NA
