modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-ro	17.9	28.4	7.2	8.9	14.3	18.0	16.1	18.5
xglm-label-trim	en-ro	16.6	27.4	6.3	8.2	13.9	16.9	15.8	16.7
xglm-keywords10-seen500-trim	en-ro	17.7	27.5	6.9	8.5	14.1	18.0	16.3	NA
xglm-topic3shot-seen500-trim	en-ro	17.4	27.3	6.8	8.0	14.0	17.1	16.1	NA
xglm-rand-label-trim	en-ro	16.5	27.5	6.1	8.2	13.5	17.1	16.1	16.6
verbose-base-trim	en-ro	18.1	27.7	7.3	8.1	14.5	17.5	16.7	17.6
xglm-keywords30-seen500-trim	en-ro	18.6	27.8	7.2	9.0	13.9	17.5	16.5	NA
xglm-rand-keywords10-seen500-trim	en-ro	17.2	27.2	7.3	8.1	13.9	17.4	16.3	NA
xglm-rand-keywords10-seen-all-trim	en-ro	17.6	27.2	6.9	7.9	13.7	17.7	16.1	NA
xglm-rand-topic3shot-seen500-trim	en-ro	17.5	27.3	6.8	8.0	14.0	17.1	16.1	NA
xglm-rand-3shot-seen-all-trim	en-ro	17.5	27.0	7.0	7.9	13.8	17.2	16.2	NA
xglm-bm25-3shot-seen-all-trim	en-ro	17.8	27.6	6.9	8.0	14.6	17.5	16.5	NA
xglm-sentsim-3shot-seen-all-trim	en-ro	17.7	27.8	7.0	7.9	14.3	17.2	16.3	NA
xglm-topic1shot-seen500-trim	en-ro	16.6	27.9	6.4	8.3	14.2	17.8	16.0	NA
xglm-topic5shot-seen500-trim	en-ro	17.7	27.7	7.0	7.9	13.8	17.0	16.2	NA
xglm-topic3shot-seen200-trim	en-ro	18.3	27.2	7.2	7.8	13.8	17.3	16.1	17.8
xglm-topic3shot-seen1000-trim	en-ro	18.0	27.5	6.9	7.8	13.7	17.1	16.2	NA
xglm-bm25-3shot-langs-trim	en-ro	18.3	26.8	6.9	7.6	13.9	16.6	16.2	NA
xglm-sentsim-3shot-langs-trim	en-ro	18.4	26.7	6.7	7.5	13.7	16.7	16.1	NA
xglm-topic3shot-lang500-trim	en-ro	17.7	26.9	6.9	7.6	13.6	17.1	16.0	NA
xglm-topic3shot-domain200-trim	en-ro	17.7	27.7	6.8	8.2	13.9	16.9	16.4	NA
xglm-domain3shot-all-trim	en-ro	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-ro	17.5	27.3	7.0	7.6	13.9	17.1	16.2	NA
xglm-rand-topic3shot-seen200-trim	en-ro	17.2	27.2	7.0	8.2	14.2	17.3	16.0	17.9
