lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	30.0	62.0	23.0	76.8	70.8	66.2	79.2	36.6
en-de	57.2	58.4	40.6	92.0	86.0	87.6	88.6	59.6
en-fi	12.8	31.6	11.4	56.8	49.2	NA	53.0	19.6
en-fr	44.4	47.0	21.2	73.8	67.6	55.6	80.0	44.8
en-lt	13.6	42.6	23.4	67.0	48.8	NA	52.2	23.2
en-ro	24.6	60.8	28.8	80.4	79.8	70.4	81.6	41.4
en-ta	NA	NA	48.4	78.4	43.0	87.6	79.0	58.0
cs-en	91.8	91.6	89.2	97.8	98.4	97.4	99.6	85.8
fr-en	95.4	95.2	95.0	99.2	99.2	99.0	99.8	94.8
lt-en	88.4	91.0	86.0	94.6	96.2	NA	95.4	77.0
ro-en	92.4	91.4	89.6	97.6	98.0	98.6	99.2	89.4
mean	55.1	67.2	50.6	83.1	76.1	82.8	82.5	57.3
