lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.3	24.5	6.1	6.9	11.7	17.4	14.8	NA
en-de	15.5	26.9	11.2	7.9	14.0	17.1	16.7	NA
en-fi	13.5	19.3	5.7	6.8	11.0	NA	12.7	NA
en-fr	18.0	28.8	14.4	8.6	15.7	17.6	18.1	NA
en-lt	17.2	29.5	5.8	9.2	18.8	NA	21.8	NA
en-ro	17.5	27.0	7.0	7.9	13.8	17.2	16.2	NA
en-ta	NA	NA	7.8	9.8	22.9	21.0	17.4	NA
cs-en	16.2	24.9	6.3	6.5	11.1	17.1	13.8	NA
fr-en	19.1	30.1	15.6	8.1	15.2	16.7	17.6	NA
lt-en	14.0	21.1	5.6	5.1	11.4	NA	12.4	NA
ro-en	18.7	27.4	7.3	7.7	13.8	15.8	15.5	NA
mean	16.5	25.9	8.4	7.7	14.5	17.5	16.1	NA
