modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-fr	20.8	28.3	25.4	20.5	25.3	12.1	27.2	30.6
xglm-label-trim	en-fr	28.8	33.7	31.7	22.7	29.7	13.2	29.2	37.4
xglm-keywords10-seen500-trim	en-fr	31.1	34.8	33.9	22.8	29.4	13.0	30.8	NA
xglm-topic3shot-seen500-trim	en-fr	32.0	36.7	35.2	23.8	29.2	12.6	30.8	NA
xglm-rand-label-trim	en-fr	28.0	33.3	30.8	21.5	28.9	12.8	30.1	38.3
verbose-base-trim	en-fr	28.1	33.3	32.8	17.7	25.6	11.3	27.3	33.3
xglm-keywords30-seen500-trim	en-fr	30.8	35.2	34.0	22.9	30.5	12.7	30.2	NA
xglm-rand-keywords10-seen500-trim	en-fr	29.2	34.7	33.3	24.0	30.5	12.5	31.5	NA
xglm-rand-keywords10-seen-all-trim	en-fr	30.0	35.0	32.6	23.5	30.5	12.8	31.0	NA
xglm-rand-topic3shot-seen500-trim	en-fr	32.0	36.6	35.2	23.8	29.1	12.6	30.7	NA
xglm-rand-3shot-seen-all-trim	en-fr	30.3	34.6	33.1	23.6	28.4	12.2	29.9	NA
xglm-bm25-3shot-seen-all-trim	en-fr	29.2	35.1	32.8	21.7	29.2	12.1	29.8	NA
xglm-sentsim-3shot-seen-all-trim	en-fr	30.1	37.0	33.3	22.0	28.5	11.9	29.3	NA
xglm-topic1shot-seen500-trim	en-fr	30.3	35.3	33.5	23.1	29.2	12.9	29.0	NA
xglm-topic5shot-seen500-trim	en-fr	32.1	36.1	35.2	24.1	29.6	12.5	30.5	NA
xglm-topic3shot-seen200-trim	en-fr	31.7	36.0	34.4	22.9	30.1	12.8	30.5	39.4
xglm-topic3shot-seen1000-trim	en-fr	31.5	35.7	35.0	23.4	30.5	12.8	30.7	NA
xglm-bm25-3shot-langs-trim	en-fr	39.3	43.9	39.7	23.0	31.4	34.3	30.8	NA
xglm-sentsim-3shot-langs-trim	en-fr	38.3	42.7	36.9	23.0	29.1	31.4	32.0	NA
xglm-topic3shot-lang500-trim	en-fr	34.1	38.0	36.3	24.2	30.3	15.3	30.1	NA
xglm-topic3shot-domain200-trim	en-fr	32.2	36.7	35.4	24.2	29.9	14.0	31.8	NA
xglm-domain3shot-all-trim	en-fr	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-fr	32.1	35.6	34.7	23.8	30.1	13.6	30.9	NA
xglm-rand-topic3shot-seen200-trim	en-fr	31.4	35.3	33.7	23.9	29.2	13.1	31.2	39.4
