lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	94.8	98.8	89.6	93.0	95.6	98.4	99.2	NA
en-de	97.0	98.6	93.6	99.0	98.8	99.0	99.6	NA
en-fi	96.0	98.2	90.4	94.8	95.8	NA	99.2	NA
en-fr	94.4	98.2	90.8	95.4	97.2	93.4	99.4	NA
en-lt	95.2	97.6	90.6	93.4	93.8	NA	97.6	NA
en-ro	96.0	99.2	87.6	93.4	97.8	99.4	99.6	NA
en-ta	NA	NA	95.2	96.0	95.0	99.6	99.8	NA
cs-en	98.4	99.4	93.8	97.6	99.8	NA	99.8	NA
fr-en	97.8	100.0	95.8	98.6	99.6	NA	99.6	NA
lt-en	95.4	98.6	86.4	94.4	98.0	NA	98.8	NA
ro-en	98.0	100.0	92.2	97.4	99.2	NA	99.8	NA
mean	96.3	98.9	91.5	95.7	97.3	98.0	99.3	NA
