lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	75.8	81.0	75.8	69.2	72.0	63.9	72.6	NA
en-de	76.4	79.8	74.6	73.8	76.0	68.9	78.5	NA
en-fi	75.0	76.9	75.0	74.0	75.7	NA	79.0	NA
en-fr	78.9	84.0	74.5	74.4	76.3	68.6	80.1	NA
en-lt	51.3	47.1	62.7	51.8	46.9	NA	46.0	NA
en-ro	76.7	83.2	74.4	74.5	74.8	66.3	79.3	NA
en-ta	NA	NA	51.5	48.8	39.1	31.6	40.2	NA
cs-en	76.3	73.2	73.9	73.7	71.7	57.8	75.2	NA
fr-en	76.0	76.8	71.5	72.4	72.9	65.7	76.9	NA
lt-en	70.8	71.7	69.5	69.6	68.1	NA	72.3	NA
ro-en	74.6	74.9	73.4	74.2	72.9	61.3	76.5	NA
mean	73.2	74.9	70.6	68.8	67.9	60.5	70.6	NA
