lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	77.7	83.1	72.0	68.1	72.0	65.3	75.4	NA
en-de	75.0	79.5	70.6	70.6	73.4	69.9	77.4	NA
en-fi	76.7	79.3	70.0	71.4	75.3	NA	78.5	NA
en-fr	77.0	82.9	71.8	71.7	74.0	70.8	78.9	NA
en-lt	48.7	47.6	58.4	48.9	45.5	NA	43.6	NA
en-ro	76.6	83.6	69.4	71.1	74.0	69.0	78.0	NA
en-ta	NA	NA	48.4	47.4	43.6	36.2	40.3	NA
cs-en	79.4	80.8	69.9	72.1	74.9	65.2	78.3	NA
fr-en	78.4	82.9	72.6	73.7	76.9	71.3	81.2	NA
lt-en	67.6	69.1	58.5	57.2	60.1	NA	63.2	NA
ro-en	78.3	82.5	69.8	74.3	76.7	65.5	80.5	NA
mean	73.5	77.1	66.5	66.0	67.9	64.2	70.5	NA
