modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-ro	41.0	82.8	56.4	86.0	85.6	96.6	85.2	55.2
xglm-label-trim	en-ro	78.4	96.0	52.8	90.0	92.2	97.2	96.4	69.0
xglm-keywords10-seen500-trim	en-ro	90.2	98.6	75.8	92.4	96.0	97.8	98.8	NA
xglm-topic3shot-seen500-trim	en-ro	98.2	99.8	86.2	92.8	95.4	99.2	98.4	NA
xglm-rand-label-trim	en-ro	78.6	92.0	59.6	88.4	92.0	96.6	97.6	70.8
verbose-base-trim	en-ro	96.6	99.0	87.2	93.0	96.8	99.0	98.4	89.6
xglm-keywords30-seen500-trim	en-ro	90.6	99.2	76.8	93.2	96.2	98.6	99.0	NA
xglm-rand-keywords10-seen500-trim	en-ro	88.2	98.2	73.6	92.2	95.2	98.0	98.8	NA
xglm-rand-keywords10-seen-all-trim	en-ro	87.2	98.6	73.4	93.4	95.4	97.8	98.2	NA
xglm-rand-topic3shot-seen500-trim	en-ro	98.2	99.8	85.8	92.8	95.4	99.2	98.4	NA
xglm-rand-3shot-seen-all-trim	en-ro	85.6	96.4	72.8	89.8	94.4	96.2	94.8	NA
xglm-bm25-3shot-seen-all-trim	en-ro	79.2	92.8	67.0	84.0	86.8	92.2	93.2	NA
xglm-sentsim-3shot-seen-all-trim	en-ro	80.8	94.4	75.2	88.8	90.2	95.2	94.4	NA
xglm-topic1shot-seen500-trim	en-ro	95.2	98.8	85.8	92.6	95.4	99.4	98.6	NA
xglm-topic5shot-seen500-trim	en-ro	97.6	99.8	86.8	93.0	96.6	99.2	98.4	NA
xglm-topic3shot-seen200-trim	en-ro	97.0	99.6	86.0	94.0	96.2	99.4	98.8	89.8
xglm-topic3shot-seen1000-trim	en-ro	96.2	99.4	88.4	93.6	96.4	99.4	97.2	NA
xglm-bm25-3shot-langs-trim	en-ro	98.6	99.4	91.6	93.8	97.6	99.6	99.4	NA
xglm-sentsim-3shot-langs-trim	en-ro	98.4	99.6	92.0	94.2	97.8	99.2	99.8	NA
xglm-topic3shot-lang500-trim	en-ro	97.8	99.6	90.4	94.8	96.8	99.6	99.6	NA
xglm-topic3shot-domain200-trim	en-ro	97.4	99.8	86.8	92.6	97.0	99.0	99.0	NA
xglm-domain3shot-all-trim	en-ro	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-ro	97.0	99.2	89.4	94.2	98.0	98.6	99.2	NA
xglm-rand-topic3shot-seen200-trim	en-ro	96.6	99.2	86.8	93.6	96.6	98.4	99.2	89.0
