lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	80.6	85.1	79.5	73.0	74.6	66.2	77.5	79.7
en-de	79.3	81.8	77.5	75.8	77.4	70.9	80.4	85.5
en-fi	78.5	82.1	77.3	76.0	77.7	NA	81.4	78.1
en-fr	81.0	85.0	76.9	75.7	77.6	70.9	81.6	86.3
en-lt	50.7	47.1	64.4	52.3	46.1	NA	44.8	59.5
en-ro	79.7	86.0	76.9	76.1	77.0	69.3	80.9	79.7
en-ta	NA	NA	51.2	48.6	40.0	33.6	39.9	43.3
cs-en	82.6	82.5	78.1	77.1	79.0	NA	81.7	NA
fr-en	82.0	85.2	79.2	79.4	81.7	NA	85.2	NA
lt-en	67.3	65.7	60.1	56.5	59.2	NA	60.9	NA
ro-en	81.2	84.2	77.2	78.5	79.7	NA	83.9	NA
mean	76.3	78.5	72.6	69.9	70.0	62.2	72.6	73.2
