lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	72.6	85.4	52.0	88.4	82.0	93.0	93.0	51.2
en-de	80.8	84.8	67.0	97.2	93.4	92.6	96.4	73.4
en-fi	58.0	85.0	45.4	91.4	87.4	NA	92.0	41.2
en-fr	78.2	85.2	63.0	92.0	88.6	84.4	97.8	68.8
en-lt	53.0	83.6	37.8	88.8	81.8	NA	86.0	40.0
en-ro	72.6	93.2	49.8	89.8	91.6	93.6	96.4	62.8
en-ta	NA	NA	48.2	92.8	62.0	96.2	97.6	68.4
cs-en	97.2	97.0	88.2	98.2	99.6	99.8	99.6	NA
fr-en	96.4	99.0	91.2	99.0	99.4	99.6	99.4	NA
lt-en	90.6	96.2	83.8	94.6	96.6	NA	98.4	NA
ro-en	96.8	98.4	84.8	98.6	99.0	99.8	99.6	NA
mean	79.6	90.8	64.7	93.7	89.2	94.9	96.0	58.0
