lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.2	82.0	77.8	71.9	73.6	64.7	74.6	NA
en-de	76.3	80.6	76.2	74.8	75.9	68.8	79.0	NA
en-fi	76.3	78.1	77.0	74.5	77.5	NA	80.0	NA
en-fr	79.6	85.0	76.4	74.5	76.3	69.2	80.3	NA
en-lt	55.0	51.5	65.2	54.2	48.2	NA	46.5	NA
en-ro	77.5	84.7	76.4	75.2	75.9	67.3	80.4	NA
en-ta	NA	NA	52.9	49.8	39.2	33.2	40.2	NA
cs-en	76.5	73.7	73.9	73.7	71.8	58.5	75.3	NA
fr-en	76.1	77.3	71.7	72.6	73.4	66.2	77.2	NA
lt-en	70.9	71.6	69.7	69.4	68.1	NA	72.4	NA
ro-en	74.6	75.0	73.5	74.0	73.1	61.7	76.4	NA
mean	73.9	76.0	71.9	69.5	68.5	61.2	71.1	NA
