lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.6	24.9	6.4	7.2	12.3	17.0	16.1	NA
en-de	15.5	27.1	11.2	8.0	14.0	17.4	16.8	NA
en-fi	13.9	19.2	5.6	7.0	11.9	NA	12.9	NA
en-fr	18.3	29.5	14.7	9.2	15.6	17.7	18.3	NA
en-lt	16.6	30.4	6.0	9.6	19.3	NA	22.2	NA
en-ro	17.8	27.6	6.9	8.0	14.6	17.5	16.5	NA
en-ta	NA	NA	7.6	10.2	25.0	22.1	17.5	NA
cs-en	16.2	24.5	6.3	6.5	11.1	17.0	13.8	NA
fr-en	19.1	30.2	15.6	8.1	15.2	16.7	17.6	NA
lt-en	14.1	21.2	5.6	5.1	11.4	NA	12.4	NA
ro-en	18.7	27.3	7.2	7.7	13.8	15.8	15.6	NA
mean	16.6	26.2	8.5	7.9	14.9	17.6	16.3	NA
