lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.1	NA	NA	12.6	13.7	4.5	15.0	NA
en-de	25.4	NA	22.2	18.9	23.3	12.1	23.0	NA
en-fi	12.4	NA	17.9	6.3	14.0	NA	12.8	NA
en-fr	31.9	NA	NA	24.5	30.7	13.1	31.6	NA
en-lt	5.8	NA	NA	1.0	1.2	NA	1.5	NA
en-ro	24.6	NA	NA	15.1	17.6	5.5	22.3	NA
en-ta	NA	NA	NA	0.8	0.4	0.0	0.1	NA
cs-en	37.2	NA	NA	26.2	25.4	NA	27.8	NA
fr-en	42.3	NA	NA	28.5	35.2	NA	35.0	NA
lt-en	17.6	NA	14.9	5.2	7.9	NA	8.7	NA
ro-en	43.1	NA	NA	30.9	30.7	NA	34.7	NA
mean	25.8	NA	18.3	15.5	18.2	7.0	19.3	NA
