modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-fi	22.2	61.0	36.2	65.4	57.6	NA	58.0	33.0
xglm-label-trim	en-fi	62.4	92.4	50.0	91.8	90.4	NA	92.4	50.2
xglm-keywords10-seen500-trim	en-fi	83.0	95.8	75.4	90.8	90.6	NA	95.6	NA
xglm-topic3shot-seen500-trim	en-fi	97.2	98.0	89.0	96.4	96.6	NA	98.4	NA
xglm-rand-label-trim	en-fi	60.0	88.4	56.4	87.6	87.0	NA	92.4	55.8
verbose-base-trim	en-fi	95.4	96.6	92.4	95.2	96.8	NA	98.4	92.0
xglm-keywords30-seen500-trim	en-fi	83.8	95.6	73.4	93.2	91.4	NA	96.8	NA
xglm-rand-keywords10-seen500-trim	en-fi	75.2	94.2	70.4	91.0	90.2	NA	96.4	NA
xglm-rand-keywords10-seen-all-trim	en-fi	71.6	93.2	69.6	91.8	90.8	NA	97.6	NA
xglm-rand-topic3shot-seen500-trim	en-fi	97.2	98.0	89.0	96.4	96.6	NA	98.4	NA
xglm-rand-3shot-seen-all-trim	en-fi	77.2	84.6	73.0	88.2	88.4	NA	93.0	NA
xglm-bm25-3shot-seen-all-trim	en-fi	75.0	85.6	69.2	76.8	81.2	NA	86.6	NA
xglm-sentsim-3shot-seen-all-trim	en-fi	71.4	77.2	73.6	81.4	84.6	NA	90.8	NA
xglm-topic1shot-seen500-trim	en-fi	91.8	97.8	89.0	91.6	94.2	NA	96.4	NA
xglm-topic5shot-seen500-trim	en-fi	97.4	98.6	89.8	97.6	97.6	NA	99.0	NA
xglm-topic3shot-seen200-trim	en-fi	95.2	98.0	90.6	95.0	96.4	NA	98.0	83.8
xglm-topic3shot-seen1000-trim	en-fi	96.4	98.4	89.6	95.4	97.4	NA	98.0	NA
xglm-bm25-3shot-langs-trim	en-fi	98.0	99.2	94.0	97.4	97.6	NA	99.2	NA
xglm-sentsim-3shot-langs-trim	en-fi	97.2	99.8	95.0	97.4	98.6	NA	99.4	NA
xglm-topic3shot-lang500-trim	en-fi	97.6	98.8	90.2	97.0	97.6	NA	99.0	NA
xglm-topic3shot-domain200-trim	en-fi	94.0	98.4	91.4	95.6	97.2	NA	99.4	NA
xglm-domain3shot-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-fi	96.6	98.4	91.2	96.4	98.6	NA	99.2	NA
xglm-rand-topic3shot-seen200-trim	en-fi	96.0	97.6	87.8	94.8	96.0	NA	97.4	84.2
