lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.4	20.6	23.5	11.2	13.0	4.3	14.5	NA
en-de	24.5	27.7	21.6	18.2	21.7	11.8	23.2	NA
en-fi	12.8	8.3	19.7	6.6	13.1	NA	12.6	NA
en-fr	31.7	35.7	34.9	23.3	29.3	12.5	31.2	NA
en-lt	4.9	4.4	7.0	1.3	1.2	NA	1.4	NA
en-ro	25.7	23.7	23.0	15.9	18.2	5.6	22.0	NA
en-ta	NA	NA	0.9	0.7	0.4	0.0	0.1	NA
cs-en	35.8	40.0	32.7	26.2	26.1	9.9	27.7	NA
fr-en	40.7	46.5	37.4	29.5	36.0	16.5	35.5	NA
lt-en	15.3	19.7	13.0	6.1	7.8	NA	8.8	NA
ro-en	41.4	44.6	34.3	32.2	31.0	9.8	35.3	NA
mean	25.1	27.1	22.5	15.6	18.0	8.8	19.3	NA
