modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-lt	16.6	30.1	6.9	8.6	18.0	NA	22.1	17.8
xglm-label-trim	en-lt	15.9	29.2	5.6	8.6	20.1	NA	21.8	14.3
xglm-keywords10-seen500-trim	en-lt	18.3	30.0	6.6	9.2	22.7	NA	23.3	NA
xglm-topic3shot-seen500-trim	en-lt	17.1	29.4	5.8	8.8	20.7	NA	23.1	NA
xglm-rand-label-trim	en-lt	14.9	30.0	5.9	8.8	20.3	NA	20.9	12.8
verbose-base-trim	en-lt	19.7	33.5	6.7	11.1	25.0	NA	27.4	14.9
xglm-keywords30-seen500-trim	en-lt	20.1	32.1	8.6	12.4	23.5	NA	26.4	NA
xglm-rand-keywords10-seen500-trim	en-lt	16.0	31.0	6.2	8.6	21.9	NA	23.7	NA
xglm-rand-keywords10-seen-all-trim	en-lt	19.6	32.1	6.4	9.3	22.1	NA	24.3	NA
xglm-rand-topic3shot-seen500-trim	en-lt	17.3	29.2	6.0	8.8	20.9	NA	23.2	NA
xglm-rand-3shot-seen-all-trim	en-lt	17.2	29.5	5.8	9.2	18.8	NA	21.8	NA
xglm-bm25-3shot-seen-all-trim	en-lt	16.6	30.4	6.0	9.6	19.3	NA	22.2	NA
xglm-sentsim-3shot-seen-all-trim	en-lt	16.3	28.4	5.7	7.6	18.6	NA	21.7	NA
xglm-topic1shot-seen500-trim	en-lt	15.3	28.3	5.8	10.2	21.8	NA	24.7	NA
xglm-topic5shot-seen500-trim	en-lt	17.2	30.0	6.6	10.2	21.3	NA	23.7	NA
xglm-topic3shot-seen200-trim	en-lt	16.2	29.5	6.3	8.2	20.0	NA	23.1	14.2
xglm-topic3shot-seen1000-trim	en-lt	16.1	30.3	6.1	10.4	21.0	NA	24.1	NA
xglm-bm25-3shot-langs-trim	en-lt	15.3	27.1	6.0	7.5	15.9	NA	17.5	NA
xglm-sentsim-3shot-langs-trim	en-lt	16.1	28.2	5.7	7.9	16.7	NA	19.2	NA
xglm-topic3shot-lang500-trim	en-lt	16.5	28.2	6.0	8.6	18.8	NA	21.7	NA
xglm-topic3shot-domain200-trim	en-lt	16.8	30.0	5.4	8.6	22.9	NA	23.2	NA
xglm-domain3shot-all-trim	en-lt	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-lt	16.3	28.9	5.7	9.5	20.6	NA	22.3	NA
xglm-rand-topic3shot-seen200-trim	en-lt	17.2	30.6	7.1	9.8	22.1	NA	25.6	15.1
